location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
France,2021-01-08,18,24,0.01,0.0
France,2021-01-08,25,49,0.07,0.0
France,2021-01-08,50,59,0.44,0.0
France,2021-01-08,60,69,0.28,0.0
France,2021-01-08,70,79,0.16,0.0
France,2021-01-08,80,,0.41,0.0
France,2021-01-15,18,24,0.06,0.0
France,2021-01-15,25,49,0.36,0.0
France,2021-01-15,50,59,1.74,0.0
France,2021-01-15,60,69,1.03,0.0
France,2021-01-15,70,79,0.84,0.0
France,2021-01-15,80,,2.07,0.0
France,2021-01-22,18,24,0.12,0.0
France,2021-01-22,25,49,0.67,0.0
France,2021-01-22,50,59,2.72,0.0
France,2021-01-22,60,69,1.74,0.0
France,2021-01-22,70,79,4.06,0.0
France,2021-01-22,80,,8.89,0.01
France,2021-01-29,18,24,0.17,0.0
France,2021-01-29,25,49,0.85,0.03
France,2021-01-29,50,59,3.23,0.21
France,2021-01-29,60,69,2.22,0.12
France,2021-01-29,70,79,6.93,0.08
France,2021-01-29,80,,14.8,0.24
France,2021-02-05,18,24,0.2,0.03
France,2021-02-05,25,49,0.97,0.18
France,2021-02-05,50,59,3.51,0.99
France,2021-02-05,60,69,2.53,0.58
France,2021-02-05,70,79,9.08,0.43
France,2021-02-05,80,,18.92,1.3
France,2021-02-12,18,24,0.3,0.08
France,2021-02-12,25,49,1.26,0.45
France,2021-02-12,50,59,3.86,1.95
France,2021-02-12,60,69,2.89,1.19
France,2021-02-12,70,79,10.96,1.6
France,2021-02-12,80,,22.28,4.63
France,2021-02-19,18,24,0.46,0.12
France,2021-02-19,25,49,1.59,0.67
France,2021-02-19,50,59,4.18,2.67
France,2021-02-19,60,69,3.21,1.74
France,2021-02-19,70,79,12.19,4.27
France,2021-02-19,80,,24.47,9.86
France,2021-02-26,18,24,0.64,0.15
France,2021-02-26,25,49,1.92,0.81
France,2021-02-26,50,59,5.13,3.06
France,2021-02-26,60,69,4.17,2.12
France,2021-02-26,70,79,13.62,6.77
France,2021-02-26,80,,26.83,14.42
France,2021-03-05,18,24,0.88,0.18
France,2021-03-05,25,49,2.41,0.92
France,2021-03-05,50,59,7.08,3.34
France,2021-03-05,60,69,6.82,2.43
France,2021-03-05,70,79,18.06,8.83
France,2021-03-05,80,,32.07,18.0
France,2021-03-12,18,24,1.18,0.21
France,2021-03-12,25,49,3.04,1.03
France,2021-03-12,50,59,9.16,3.57
France,2021-03-12,60,69,10.53,2.73
France,2021-03-12,70,79,24.84,10.64
France,2021-03-12,80,,38.52,21.14
France,2021-03-19,18,24,1.34,0.23
France,2021-03-19,25,49,3.44,1.12
France,2021-03-19,50,59,10.22,3.73
France,2021-03-19,60,69,12.9,2.97
France,2021-03-19,70,79,31.42,11.82
France,2021-03-19,80,,45.92,23.22
France,2021-03-26,18,24,1.61,0.26
France,2021-03-26,25,49,4.07,1.2
France,2021-03-26,50,59,12.33,3.89
France,2021-03-26,60,69,18.08,3.23
France,2021-03-26,70,79,41.35,13.22
France,2021-03-26,80,,53.44,25.51
France,2021-04-02,18,24,2.04,0.29
France,2021-04-02,25,49,4.96,1.3
France,2021-04-02,50,59,14.5,4.14
France,2021-04-02,60,69,22.68,3.74
France,2021-04-02,70,79,50.81,16.33
France,2021-04-02,80,,58.72,30.21
France,2021-04-09,18,24,2.53,0.33
France,2021-04-09,25,49,5.9,1.46
France,2021-04-09,50,59,17.02,4.52
