location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Sweden,2021-01-01,18,24,0.0,0.0
Sweden,2021-01-01,25,49,0.0,0.0
Sweden,2021-01-01,50,59,0.01,0.0
Sweden,2021-01-01,60,69,0.01,0.0
Sweden,2021-01-01,70,79,0.04,0.0
Sweden,2021-01-01,80,,0.29,0.0
Sweden,2021-01-08,18,24,0.07,0.0
Sweden,2021-01-08,25,49,0.16,0.0
Sweden,2021-01-08,50,59,0.33,0.0
Sweden,2021-01-08,60,69,0.36,0.0
Sweden,2021-01-08,70,79,0.87,0.0
Sweden,2021-01-08,80,,5.42,0.0
Sweden,2021-01-15,18,24,0.32,0.0
Sweden,2021-01-15,25,49,0.71,0.0
Sweden,2021-01-15,50,59,1.23,0.0
Sweden,2021-01-15,60,69,1.14,0.0
Sweden,2021-01-15,70,79,1.8,0.0
Sweden,2021-01-15,80,,10.6,0.01
Sweden,2021-01-22,18,24,0.79,0.01
Sweden,2021-01-22,25,49,1.63,0.02
Sweden,2021-01-22,50,59,2.64,0.05
Sweden,2021-01-22,60,69,2.33,0.07
Sweden,2021-01-22,70,79,2.92,0.19
Sweden,2021-01-22,80,,15.75,1.26
Sweden,2021-01-29,18,24,1.12,0.03
Sweden,2021-01-29,25,49,2.18,0.09
Sweden,2021-01-29,50,59,3.53,0.2
Sweden,2021-01-29,60,69,3.09,0.26
Sweden,2021-01-29,70,79,3.6,0.65
Sweden,2021-01-29,80,,18.86,4.03
Sweden,2021-02-05,18,24,1.31,0.19
Sweden,2021-02-05,25,49,2.49,0.45
Sweden,2021-02-05,50,59,4.04,0.82
Sweden,2021-02-05,60,69,3.57,0.79
Sweden,2021-02-05,70,79,4.21,1.36
Sweden,2021-02-05,80,,21.43,8.13
Sweden,2021-02-12,18,24,1.53,0.42
Sweden,2021-02-12,25,49,2.8,0.93
Sweden,2021-02-12,50,59,4.51,1.6
Sweden,2021-02-12,60,69,4.02,1.52
Sweden,2021-02-12,70,79,4.85,2.28
Sweden,2021-02-12,80,,24.58,12.79
