location,date,variant,num_sequences,perc_sequences,num_sequences_total
Angola,2020-12-21,B.1.160,0,0.0,93
Angola,2020-12-21,B.1.620,0,0.0,93
Angola,2020-12-21,B.1.258,0,0.0,93
Angola,2020-12-21,B.1.221,,,93
Angola,2020-12-21,B.1.1.302,,,93
Angola,2020-12-21,B.1.1.277,,,93
Angola,2020-12-21,B.1.1.519,,,93
Angola,2020-12-21,B.1.367,,,93
Angola,2020-12-21,B.1.177,0,0.0,93
Angola,2020-12-21,Beta,68,73.12,93
Angola,2020-12-21,Alpha,0,0.0,93
Angola,2020-12-21,Gamma,0,0.0,93
Angola,2020-12-21,Delta,0,0.0,93
Angola,2020-12-21,Kappa,0,0.0,93
Angola,2020-12-21,Epsilon,,,93
Angola,2020-12-21,Eta,1,1.08,93
Angola,2020-12-21,Iota,,,93
Angola,2020-12-21,Lambda,,,93
Angola,2020-12-21,B.1.621,,,93
Angola,2020-12-21,S:677P.Pelican,,,93
Angola,2020-12-21,S:677H.Robin1,,,93
Angola,2020-12-21,others,24,25.8,93
Angola,2020-12-21,non_who,24,25.8,93
Angola,2021-01-25,B.1.160,1,1.92,52
Angola,2021-01-25,B.1.620,0,0.0,52
Angola,2021-01-25,B.1.258,1,1.92,52
Angola,2021-01-25,B.1.221,,,52
Angola,2021-01-25,B.1.1.302,,,52
Angola,2021-01-25,B.1.1.277,,,52
Angola,2021-01-25,B.1.1.519,,,52
Angola,2021-01-25,B.1.367,,,52
Angola,2021-01-25,B.1.177,2,3.85,52
Angola,2021-01-25,Beta,3,5.77,52
Angola,2021-01-25,Alpha,3,5.77,52
Angola,2021-01-25,Gamma,0,0.0,52
Angola,2021-01-25,Delta,0,0.0,52
Angola,2021-01-25,Kappa,0,0.0,52
Angola,2021-01-25,Epsilon,,,52
Angola,2021-01-25,Eta,0,0.0,52
Angola,2021-01-25,Iota,,,52
Angola,2021-01-25,Lambda,,,52
Angola,2021-01-25,B.1.621,,,52
Angola,2021-01-25,S:677P.Pelican,,,52
Angola,2021-01-25,S:677H.Robin1,,,52
Angola,2021-01-25,others,42,80.77,52
Angola,2021-01-25,non_who,46,88.46,52
Angola,2021-02-08,B.1.160,1,2.38,42
Angola,2021-02-08,B.1.620,0,0.0,42
Angola,2021-02-08,B.1.258,0,0.0,42
Angola,2021-02-08,B.1.221,,,42
Angola,2021-02-08,B.1.1.302,,,42
Angola,2021-02-08,B.1.1.277,,,42
Angola,2021-02-08,B.1.1.519,,,42
Angola,2021-02-08,B.1.367,,,42
Angola,2021-02-08,B.1.177,0,0.0,42
Angola,2021-02-08,Beta,11,26.19,42
Angola,2021-02-08,Alpha,4,9.52,42
Angola,2021-02-08,Gamma,0,0.0,42
Angola,2021-02-08,Delta,0,0.0,42
Angola,2021-02-08,Kappa,0,0.0,42
Angola,2021-02-08,Epsilon,,,42
Angola,2021-02-08,Eta,0,0.0,42
Angola,2021-02-08,Iota,,,42
Angola,2021-02-08,Lambda,,,42
Angola,2021-02-08,B.1.621,,,42
Angola,2021-02-08,S:677P.Pelican,,,42
Angola,2021-02-08,S:677H.Robin1,,,42
Angola,2021-02-08,others,26,61.91,42
Angola,2021-02-08,non_who,27,64.29,42
Angola,2021-02-22,B.1.160,1,2.56,39
Angola,2021-02-22,B.1.620,0,0.0,39
Angola,2021-02-22,B.1.258,0,0.0,39
Angola,2021-02-22,B.1.221,,,39
Angola,2021-02-22,B.1.1.302,,,39
Angola,2021-02-22,B.1.1.277,,,39
Angola,2021-02-22,B.1.1.519,,,39
Angola,2021-02-22,B.1.367,,,39
Angola,2021-02-22,B.1.177,1,2.56,39
Angola,2021-02-22,Beta,16,41.03,39
Angola,2021-02-22,Alpha,1,2.56,39
Angola,2021-02-22,Gamma,0,0.0,39
Angola,2021-02-22,Delta,0,0.0,39
Angola,2021-02-22,Kappa,0,0.0,39
Angola,2021-02-22,Epsilon,,,39
Angola,2021-02-22,Eta,0,0.0,39
Angola,2021-02-22,Iota,,,39
Angola,2021-02-22,Lambda,,,39
Angola,2021-02-22,B.1.621,,,39
Angola,2021-02-22,S:677P.Pelican,,,39
Angola,2021-02-22,S:677H.Robin1,,,39
Angola,2021-02-22,others,20,51.29,39
Angola,2021-02-22,non_who,22,56.41,39
Angola,2021-03-08,B.1.160,0,0.0,113
Angola,2021-03-08,B.1.620,0,0.0,113
Angola,2021-03-08,B.1.258,0,0.0,113
Angola,2021-03-08,B.1.221,,,113
Angola,2021-03-08,B.1.1.302,,,113
Angola,2021-03-08,B.1.1.277,,,113
Angola,2021-03-08,B.1.1.519,,,113
Angola,2021-03-08,B.1.367,,,113
Angola,2021-03-08,B.1.177,1,0.88,113
Angola,2021-03-08,Beta,69,61.06,113
Angola,2021-03-08,Alpha,7,6.19,113
Angola,2021-03-08,Gamma,0,0.0,113
Angola,2021-03-08,Delta,0,0.0,113
Angola,2021-03-08,Kappa,0,0.0,113
Angola,2021-03-08,Epsilon,,,113
Angola,2021-03-08,Eta,0,0.0,113
Angola,2021-03-08,Iota,,,113
Angola,2021-03-08,Lambda,,,113
Angola,2021-03-08,B.1.621,,,113
Angola,2021-03-08,S:677P.Pelican,,,113
Angola,2021-03-08,S:677H.Robin1,,,113
Angola,2021-03-08,others,36,31.87,113
Angola,2021-03-08,non_who,37,32.75,113
Angola,2021-03-22,B.1.160,0,0.0,120
Angola,2021-03-22,B.1.620,0,0.0,120
Angola,2021-03-22,B.1.258,0,0.0,120
Angola,2021-03-22,B.1.221,,,120
Angola,2021-03-22,B.1.1.302,,,120
Angola,2021-03-22,B.1.1.277,,,120
Angola,2021-03-22,B.1.1.519,,,120
Angola,2021-03-22,B.1.367,,,120
Angola,2021-03-22,B.1.177,0,0.0,120
Angola,2021-03-22,Beta,86,71.67,120
Angola,2021-03-22,Alpha,11,9.17,120
Angola,2021-03-22,Gamma,0,0.0,120
Angola,2021-03-22,Delta,0,0.0,120
Angola,2021-03-22,Kappa,1,0.83,120
Angola,2021-03-22,Epsilon,,,120
Angola,2021-03-22,Eta,1,0.83,120
Angola,2021-03-22,Iota,,,120
Angola,2021-03-22,Lambda,,,120
Angola,2021-03-22,B.1.621,,,120
Angola,2021-03-22,S:677P.Pelican,,,120
Angola,2021-03-22,S:677H.Robin1,,,120
Angola,2021-03-22,others,21,17.5,120
Angola,2021-03-22,non_who,21,17.5,120
Angola,2021-04-05,B.1.160,0,0.0,101
Angola,2021-04-05,B.1.620,2,1.98,101
Angola,2021-04-05,B.1.258,0,0.0,101
Angola,2021-04-05,B.1.221,,,101
Angola,2021-04-05,B.1.1.302,,,101
Angola,2021-04-05,B.1.1.277,,,101
Angola,2021-04-05,B.1.1.519,,,101
Angola,2021-04-05,B.1.367,,,101
Angola,2021-04-05,B.1.177,0,0.0,101
Angola,2021-04-05,Beta,63,62.38,101
Angola,2021-04-05,Alpha,5,4.95,101
Angola,2021-04-05,Gamma,1,0.99,101
Angola,2021-04-05,Delta,0,0.0,101
Angola,2021-04-05,Kappa,4,3.96,101
Angola,2021-04-05,Epsilon,,,101
Angola,2021-04-05,Eta,7,6.93,101
Angola,2021-04-05,Iota,,,101
Angola,2021-04-05,Lambda,,,101
Angola,2021-04-05,B.1.621,,,101
Angola,2021-04-05,S:677P.Pelican,,,101
Angola,2021-04-05,S:677H.Robin1,,,101
Angola,2021-04-05,others,19,18.81,101
Angola,2021-04-05,non_who,21,20.79,101
Angola,2021-04-19,B.1.160,0,0.0,82
Angola,2021-04-19,B.1.620,0,0.0,82
Angola,2021-04-19,B.1.258,0,0.0,82
Angola,2021-04-19,B.1.221,,,82
Angola,2021-04-19,B.1.1.302,,,82
Angola,2021-04-19,B.1.1.277,,,82
Angola,2021-04-19,B.1.1.519,,,82
Angola,2021-04-19,B.1.367,,,82
Angola,2021-04-19,B.1.177,0,0.0,82
Angola,2021-04-19,Beta,31,37.8,82
Angola,2021-04-19,Alpha,20,24.39,82
Angola,2021-04-19,Gamma,0,0.0,82
Angola,2021-04-19,Delta,2,2.44,82
Angola,2021-04-19,Kappa,1,1.22,82
Angola,2021-04-19,Epsilon,,,82
Angola,2021-04-19,Eta,2,2.44,82
Angola,2021-04-19,Iota,,,82
Angola,2021-04-19,Lambda,,,82
Angola,2021-04-19,B.1.621,,,82
Angola,2021-04-19,S:677P.Pelican,,,82
Angola,2021-04-19,S:677H.Robin1,,,82
Angola,2021-04-19,others,26,31.71,82
Angola,2021-04-19,non_who,26,31.71,82
Argentina,2020-05-11,B.1.160,,,149
Argentina,2020-05-11,B.1.620,,,149
Argentina,2020-05-11,B.1.258,,,149
Argentina,2020-05-11,B.1.221,,,149
Argentina,2020-05-11,B.1.1.302,,,149
Argentina,2020-05-11,B.1.1.277,,,149
Argentina,2020-05-11,B.1.1.519,0,0.0,149
Argentina,2020-05-11,B.1.367,,,149
Argentina,2020-05-11,B.1.177,,,149
Argentina,2020-05-11,Beta,0,0.0,149
Argentina,2020-05-11,Alpha,0,0.0,149
Argentina,2020-05-11,Gamma,0,0.0,149
Argentina,2020-05-11,Delta,0,0.0,149
Argentina,2020-05-11,Kappa,,,149
Argentina,2020-05-11,Epsilon,0,0.0,149
Argentina,2020-05-11,Eta,0,0.0,149
Argentina,2020-05-11,Iota,0,0.0,149
Argentina,2020-05-11,Lambda,0,0.0,149
Argentina,2020-05-11,B.1.621,,,149
Argentina,2020-05-11,S:677P.Pelican,,,149
Argentina,2020-05-11,S:677H.Robin1,,,149
Argentina,2020-05-11,others,149,100.0,149
Argentina,2020-05-11,non_who,149,100.0,149
Argentina,2020-05-25,B.1.160,,,167
Argentina,2020-05-25,B.1.620,,,167
Argentina,2020-05-25,B.1.258,,,167
Argentina,2020-05-25,B.1.221,,,167
Argentina,2020-05-25,B.1.1.302,,,167
Argentina,2020-05-25,B.1.1.277,,,167
Argentina,2020-05-25,B.1.1.519,0,0.0,167
Argentina,2020-05-25,B.1.367,,,167
Argentina,2020-05-25,B.1.177,,,167
Argentina,2020-05-25,Beta,0,0.0,167
Argentina,2020-05-25,Alpha,0,0.0,167
Argentina,2020-05-25,Gamma,0,0.0,167
Argentina,2020-05-25,Delta,0,0.0,167
Argentina,2020-05-25,Kappa,,,167
Argentina,2020-05-25,Epsilon,0,0.0,167
Argentina,2020-05-25,Eta,0,0.0,167
Argentina,2020-05-25,Iota,0,0.0,167
Argentina,2020-05-25,Lambda,0,0.0,167
Argentina,2020-05-25,B.1.621,,,167
Argentina,2020-05-25,S:677P.Pelican,,,167
Argentina,2020-05-25,S:677H.Robin1,,,167
Argentina,2020-05-25,others,167,100.0,167
Argentina,2020-05-25,non_who,167,100.0,167
Argentina,2020-06-08,B.1.160,,,52
Argentina,2020-06-08,B.1.620,,,52
Argentina,2020-06-08,B.1.258,,,52
Argentina,2020-06-08,B.1.221,,,52
Argentina,2020-06-08,B.1.1.302,,,52
Argentina,2020-06-08,B.1.1.277,,,52
Argentina,2020-06-08,B.1.1.519,0,0.0,52
Argentina,2020-06-08,B.1.367,,,52
Argentina,2020-06-08,B.1.177,,,52
Argentina,2020-06-08,Beta,0,0.0,52
Argentina,2020-06-08,Alpha,0,0.0,52
Argentina,2020-06-08,Gamma,0,0.0,52
Argentina,2020-06-08,Delta,0,0.0,52
Argentina,2020-06-08,Kappa,,,52
Argentina,2020-06-08,Epsilon,0,0.0,52
Argentina,2020-06-08,Eta,0,0.0,52
Argentina,2020-06-08,Iota,0,0.0,52
Argentina,2020-06-08,Lambda,0,0.0,52
Argentina,2020-06-08,B.1.621,,,52
Argentina,2020-06-08,S:677P.Pelican,,,52
Argentina,2020-06-08,S:677H.Robin1,,,52
Argentina,2020-06-08,others,52,100.0,52
Argentina,2020-06-08,non_who,52,100.0,52
Argentina,2020-06-22,B.1.160,,,57
Argentina,2020-06-22,B.1.620,,,57
Argentina,2020-06-22,B.1.258,,,57
Argentina,2020-06-22,B.1.221,,,57
Argentina,2020-06-22,B.1.1.302,,,57
Argentina,2020-06-22,B.1.1.277,,,57
Argentina,2020-06-22,B.1.1.519,0,0.0,57
Argentina,2020-06-22,B.1.367,,,57
Argentina,2020-06-22,B.1.177,,,57
Argentina,2020-06-22,Beta,0,0.0,57
Argentina,2020-06-22,Alpha,0,0.0,57
Argentina,2020-06-22,Gamma,0,0.0,57
Argentina,2020-06-22,Delta,0,0.0,57
Argentina,2020-06-22,Kappa,,,57
Argentina,2020-06-22,Epsilon,0,0.0,57
Argentina,2020-06-22,Eta,0,0.0,57
Argentina,2020-06-22,Iota,0,0.0,57
Argentina,2020-06-22,Lambda,0,0.0,57
Argentina,2020-06-22,B.1.621,,,57
Argentina,2020-06-22,S:677P.Pelican,,,57
Argentina,2020-06-22,S:677H.Robin1,,,57
Argentina,2020-06-22,others,57,100.0,57
Argentina,2020-06-22,non_who,57,100.0,57
Argentina,2020-07-06,B.1.160,,,50
Argentina,2020-07-06,B.1.620,,,50
Argentina,2020-07-06,B.1.258,,,50
Argentina,2020-07-06,B.1.221,,,50
Argentina,2020-07-06,B.1.1.302,,,50
Argentina,2020-07-06,B.1.1.277,,,50
Argentina,2020-07-06,B.1.1.519,0,0.0,50
Argentina,2020-07-06,B.1.367,,,50
Argentina,2020-07-06,B.1.177,,,50
Argentina,2020-07-06,Beta,0,0.0,50
Argentina,2020-07-06,Alpha,0,0.0,50
Argentina,2020-07-06,Gamma,0,0.0,50
Argentina,2020-07-06,Delta,0,0.0,50
Argentina,2020-07-06,Kappa,,,50
Argentina,2020-07-06,Epsilon,0,0.0,50
Argentina,2020-07-06,Eta,0,0.0,50
Argentina,2020-07-06,Iota,0,0.0,50
Argentina,2020-07-06,Lambda,0,0.0,50
Argentina,2020-07-06,B.1.621,,,50
Argentina,2020-07-06,S:677P.Pelican,,,50
Argentina,2020-07-06,S:677H.Robin1,,,50
Argentina,2020-07-06,others,50,100.0,50
Argentina,2020-07-06,non_who,50,100.0,50
Argentina,2020-07-20,B.1.160,,,75
Argentina,2020-07-20,B.1.620,,,75
Argentina,2020-07-20,B.1.258,,,75
Argentina,2020-07-20,B.1.221,,,75
Argentina,2020-07-20,B.1.1.302,,,75
Argentina,2020-07-20,B.1.1.277,,,75
Argentina,2020-07-20,B.1.1.519,0,0.0,75
Argentina,2020-07-20,B.1.367,,,75
Argentina,2020-07-20,B.1.177,,,75
Argentina,2020-07-20,Beta,0,0.0,75
Argentina,2020-07-20,Alpha,0,0.0,75
Argentina,2020-07-20,Gamma,0,0.0,75
Argentina,2020-07-20,Delta,0,0.0,75
Argentina,2020-07-20,Kappa,,,75
Argentina,2020-07-20,Epsilon,0,0.0,75
Argentina,2020-07-20,Eta,0,0.0,75
Argentina,2020-07-20,Iota,0,0.0,75
Argentina,2020-07-20,Lambda,0,0.0,75
Argentina,2020-07-20,B.1.621,,,75
Argentina,2020-07-20,S:677P.Pelican,,,75
Argentina,2020-07-20,S:677H.Robin1,,,75
Argentina,2020-07-20,others,75,100.0,75
Argentina,2020-07-20,non_who,75,100.0,75
Argentina,2020-08-03,B.1.160,,,75
Argentina,2020-08-03,B.1.620,,,75
Argentina,2020-08-03,B.1.258,,,75
Argentina,2020-08-03,B.1.221,,,75
Argentina,2020-08-03,B.1.1.302,,,75
Argentina,2020-08-03,B.1.1.277,,,75
Argentina,2020-08-03,B.1.1.519,0,0.0,75
Argentina,2020-08-03,B.1.367,,,75
Argentina,2020-08-03,B.1.177,,,75
Argentina,2020-08-03,Beta,0,0.0,75
Argentina,2020-08-03,Alpha,0,0.0,75
Argentina,2020-08-03,Gamma,0,0.0,75
Argentina,2020-08-03,Delta,0,0.0,75
Argentina,2020-08-03,Kappa,,,75
Argentina,2020-08-03,Epsilon,0,0.0,75
Argentina,2020-08-03,Eta,0,0.0,75
Argentina,2020-08-03,Iota,0,0.0,75
Argentina,2020-08-03,Lambda,0,0.0,75
Argentina,2020-08-03,B.1.621,,,75
Argentina,2020-08-03,S:677P.Pelican,,,75
Argentina,2020-08-03,S:677H.Robin1,,,75
Argentina,2020-08-03,others,75,100.0,75
Argentina,2020-08-03,non_who,75,100.0,75
Argentina,2020-08-17,B.1.160,,,87
Argentina,2020-08-17,B.1.620,,,87
Argentina,2020-08-17,B.1.258,,,87
Argentina,2020-08-17,B.1.221,,,87
Argentina,2020-08-17,B.1.1.302,,,87
Argentina,2020-08-17,B.1.1.277,,,87
Argentina,2020-08-17,B.1.1.519,0,0.0,87
Argentina,2020-08-17,B.1.367,,,87
Argentina,2020-08-17,B.1.177,,,87
Argentina,2020-08-17,Beta,0,0.0,87
Argentina,2020-08-17,Alpha,0,0.0,87
Argentina,2020-08-17,Gamma,0,0.0,87
Argentina,2020-08-17,Delta,0,0.0,87
Argentina,2020-08-17,Kappa,,,87
Argentina,2020-08-17,Epsilon,0,0.0,87
Argentina,2020-08-17,Eta,0,0.0,87
Argentina,2020-08-17,Iota,0,0.0,87
Argentina,2020-08-17,Lambda,0,0.0,87
Argentina,2020-08-17,B.1.621,,,87
Argentina,2020-08-17,S:677P.Pelican,,,87
Argentina,2020-08-17,S:677H.Robin1,,,87
Argentina,2020-08-17,others,87,100.0,87
Argentina,2020-08-17,non_who,87,100.0,87
Argentina,2020-08-31,B.1.160,,,108
Argentina,2020-08-31,B.1.620,,,108
Argentina,2020-08-31,B.1.258,,,108
Argentina,2020-08-31,B.1.221,,,108
Argentina,2020-08-31,B.1.1.302,,,108
Argentina,2020-08-31,B.1.1.277,,,108
Argentina,2020-08-31,B.1.1.519,0,0.0,108
Argentina,2020-08-31,B.1.367,,,108
Argentina,2020-08-31,B.1.177,,,108
Argentina,2020-08-31,Beta,0,0.0,108
Argentina,2020-08-31,Alpha,0,0.0,108
Argentina,2020-08-31,Gamma,0,0.0,108
Argentina,2020-08-31,Delta,0,0.0,108
Argentina,2020-08-31,Kappa,,,108
Argentina,2020-08-31,Epsilon,0,0.0,108
Argentina,2020-08-31,Eta,0,0.0,108
Argentina,2020-08-31,Iota,0,0.0,108
Argentina,2020-08-31,Lambda,0,0.0,108
Argentina,2020-08-31,B.1.621,,,108
Argentina,2020-08-31,S:677P.Pelican,,,108
Argentina,2020-08-31,S:677H.Robin1,,,108
Argentina,2020-08-31,others,108,100.0,108
Argentina,2020-08-31,non_who,108,100.0,108
Argentina,2020-09-14,B.1.160,,,37
Argentina,2020-09-14,B.1.620,,,37
Argentina,2020-09-14,B.1.258,,,37
Argentina,2020-09-14,B.1.221,,,37
Argentina,2020-09-14,B.1.1.302,,,37
Argentina,2020-09-14,B.1.1.277,,,37
Argentina,2020-09-14,B.1.1.519,0,0.0,37
Argentina,2020-09-14,B.1.367,,,37
Argentina,2020-09-14,B.1.177,,,37
Argentina,2020-09-14,Beta,0,0.0,37
Argentina,2020-09-14,Alpha,0,0.0,37
Argentina,2020-09-14,Gamma,0,0.0,37
Argentina,2020-09-14,Delta,0,0.0,37
Argentina,2020-09-14,Kappa,,,37
Argentina,2020-09-14,Epsilon,0,0.0,37
Argentina,2020-09-14,Eta,0,0.0,37
Argentina,2020-09-14,Iota,0,0.0,37
Argentina,2020-09-14,Lambda,0,0.0,37
Argentina,2020-09-14,B.1.621,,,37
Argentina,2020-09-14,S:677P.Pelican,,,37
Argentina,2020-09-14,S:677H.Robin1,,,37
Argentina,2020-09-14,others,37,100.0,37
Argentina,2020-09-14,non_who,37,100.0,37
Argentina,2020-09-28,B.1.160,,,41
Argentina,2020-09-28,B.1.620,,,41
Argentina,2020-09-28,B.1.258,,,41
Argentina,2020-09-28,B.1.221,,,41
Argentina,2020-09-28,B.1.1.302,,,41
Argentina,2020-09-28,B.1.1.277,,,41
Argentina,2020-09-28,B.1.1.519,0,0.0,41
Argentina,2020-09-28,B.1.367,,,41
Argentina,2020-09-28,B.1.177,,,41
Argentina,2020-09-28,Beta,0,0.0,41
Argentina,2020-09-28,Alpha,0,0.0,41
Argentina,2020-09-28,Gamma,0,0.0,41
Argentina,2020-09-28,Delta,0,0.0,41
Argentina,2020-09-28,Kappa,,,41
Argentina,2020-09-28,Epsilon,0,0.0,41
Argentina,2020-09-28,Eta,0,0.0,41
Argentina,2020-09-28,Iota,0,0.0,41
Argentina,2020-09-28,Lambda,0,0.0,41
Argentina,2020-09-28,B.1.621,,,41
Argentina,2020-09-28,S:677P.Pelican,,,41
Argentina,2020-09-28,S:677H.Robin1,,,41
Argentina,2020-09-28,others,41,100.0,41
Argentina,2020-09-28,non_who,41,100.0,41
