date,vaccine,total_vaccinations,location
2020-12-22,Moderna,0,Switzerland
2020-12-23,Moderna,1,Switzerland
2020-12-24,Moderna,1,Switzerland
2020-12-25,Moderna,1,Switzerland
2020-12-26,Moderna,1,Switzerland
2020-12-27,Moderna,1,Switzerland
2020-12-28,Moderna,1,Switzerland
2020-12-29,Moderna,1,Switzerland
2020-12-30,Moderna,1,Switzerland
2020-12-31,Moderna,2,Switzerland
2021-01-01,Moderna,4,Switzerland
2021-01-02,Moderna,4,Switzerland
2021-01-03,Moderna,5,Switzerland
2021-01-04,Moderna,5,Switzerland
2021-01-05,Moderna,5,Switzerland
2021-01-06,Moderna,7,Switzerland
2021-01-07,Moderna,7,Switzerland
2021-01-08,Moderna,7,Switzerland
2021-01-09,Moderna,11,Switzerland
2021-01-10,Moderna,11,Switzerland
2021-01-11,Moderna,31,Switzerland
2021-01-12,Moderna,120,Switzerland
2021-01-13,Moderna,329,Switzerland
2021-01-14,Moderna,685,Switzerland
2021-01-15,Moderna,1480,Switzerland
2021-01-16,Moderna,3805,Switzerland
2021-01-17,Moderna,3889,Switzerland
2021-01-18,Moderna,5537,Switzerland
2021-01-19,Moderna,10264,Switzerland
2021-01-20,Moderna,17036,Switzerland
2021-01-21,Moderna,25747,Switzerland
2021-01-22,Moderna,33823,Switzerland
2021-01-23,Moderna,37869,Switzerland
2021-01-24,Moderna,38485,Switzerland
2021-01-25,Moderna,48416,Switzerland
2021-01-26,Moderna,64851,Switzerland
2021-01-27,Moderna,81927,Switzerland
2021-01-28,Moderna,99766,Switzerland
2021-01-29,Moderna,111368,Switzerland
2021-01-30,Moderna,111368,Switzerland
2021-01-31,Moderna,111368,Switzerland
2021-02-01,Moderna,120911,Switzerland
2021-02-02,Moderna,132259,Switzerland
2021-02-03,Moderna,143606,Switzerland
2021-02-04,Moderna,153985,Switzerland
2021-02-05,Moderna,163301,Switzerland
2021-02-06,Moderna,164481,Switzerland
2021-02-07,Moderna,165057,Switzerland
2021-02-08,Moderna,173079,Switzerland
2021-02-09,Moderna,183558,Switzerland
2021-02-10,Moderna,195309,Switzerland
2021-02-11,Moderna,207125,Switzerland
2021-02-12,Moderna,220615,Switzerland
2021-02-13,Moderna,225776,Switzerland
2021-02-14,Moderna,226506,Switzerland
2021-02-15,Moderna,236120,Switzerland
2021-02-16,Moderna,249354,Switzerland
2021-02-17,Moderna,262232,Switzerland
2021-02-18,Moderna,277253,Switzerland
2021-02-19,Moderna,289474,Switzerland
2021-02-20,Moderna,294154,Switzerland
2021-02-21,Moderna,294927,Switzerland
2021-02-22,Moderna,306114,Switzerland
2021-02-23,Moderna,322250,Switzerland
2021-02-24,Moderna,339332,Switzerland
2021-02-25,Moderna,357136,Switzerland
2021-02-26,Moderna,372743,Switzerland
2021-02-27,Moderna,376835,Switzerland
2021-02-28,Moderna,377896,Switzerland
2021-03-01,Moderna,391149,Switzerland
2021-03-02,Moderna,406259,Switzerland
2021-03-03,Moderna,424091,Switzerland
2021-03-04,Moderna,443184,Switzerland
2021-03-05,Moderna,459158,Switzerland
2021-03-06,Moderna,462793,Switzerland
2021-03-07,Moderna,463615,Switzerland
2021-03-08,Moderna,475324,Switzerland
2021-03-09,Moderna,491260,Switzerland
2021-03-10,Moderna,506717,Switzerland
2021-03-11,Moderna,523281,Switzerland
2021-03-12,Moderna,537128,Switzerland
