location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31027
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,90
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115743
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,304
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213155
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4191
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257849
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5878
Austria,2021-02-05,Oxford/AstraZeneca,2
Austria,2021-02-05,Pfizer/BioNTech,353360
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9957
Austria,2021-02-12,Oxford/AstraZeneca,10777
Austria,2021-02-12,Pfizer/BioNTech,454803
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14078
Austria,2021-02-19,Oxford/AstraZeneca,43534
Austria,2021-02-19,Pfizer/BioNTech,520445
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22391
Austria,2021-02-26,Oxford/AstraZeneca,101300
Austria,2021-02-26,Pfizer/BioNTech,581543
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31681
Austria,2021-03-05,Oxford/AstraZeneca,156114
Austria,2021-03-05,Pfizer/BioNTech,685859
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,47016
Austria,2021-03-12,Oxford/AstraZeneca,234704
Austria,2021-03-12,Pfizer/BioNTech,848489
Austria,2021-03-19,Johnson&Johnson,14
Austria,2021-03-19,Moderna,78763
Austria,2021-03-19,Oxford/AstraZeneca,307910
Austria,2021-03-19,Pfizer/BioNTech,980878
Austria,2021-03-26,Johnson&Johnson,26
Austria,2021-03-26,Moderna,104121
Austria,2021-03-26,Oxford/AstraZeneca,383180
Austria,2021-03-26,Pfizer/BioNTech,1126800
Austria,2021-04-02,Johnson&Johnson,43
Austria,2021-04-02,Moderna,140410
Austria,2021-04-02,Oxford/AstraZeneca,421713
Austria,2021-04-02,Pfizer/BioNTech,1274581
Austria,2021-04-09,Johnson&Johnson,80
Austria,2021-04-09,Moderna,179879
Austria,2021-04-09,Oxford/AstraZeneca,512027
Austria,2021-04-09,Pfizer/BioNTech,1495340
Austria,2021-04-16,Johnson&Johnson,86
Austria,2021-04-16,Moderna,222302
Austria,2021-04-16,Oxford/AstraZeneca,607864
Austria,2021-04-16,Pfizer/BioNTech,1728563
Austria,2021-04-23,Johnson&Johnson,91
Austria,2021-04-23,Moderna,259570
Austria,2021-04-23,Oxford/AstraZeneca,656770
Austria,2021-04-23,Pfizer/BioNTech,1991613
Austria,2021-04-30,Johnson&Johnson,348
Austria,2021-04-30,Moderna,298453
Austria,2021-04-30,Oxford/AstraZeneca,699193
Austria,2021-04-30,Pfizer/BioNTech,2264530
Austria,2021-05-07,Johnson&Johnson,6463
Austria,2021-05-07,Moderna,347623
Austria,2021-05-07,Oxford/AstraZeneca,762135
Austria,2021-05-07,Pfizer/BioNTech,2594290
Austria,2021-05-14,Johnson&Johnson,13442
Austria,2021-05-14,Moderna,397376
Austria,2021-05-14,Oxford/AstraZeneca,826241
Austria,2021-05-14,Pfizer/BioNTech,2893115
Austria,2021-05-21,Johnson&Johnson,25679
Austria,2021-05-21,Moderna,465205
Austria,2021-05-21,Oxford/AstraZeneca,903874
Austria,2021-05-21,Pfizer/BioNTech,3269959
Austria,2021-05-28,Johnson&Johnson,37815
Austria,2021-05-28,Moderna,518669
Austria,2021-05-28,Oxford/AstraZeneca,986611
Austria,2021-05-28,Pfizer/BioNTech,3604240
Austria,2021-06-04,Johnson&Johnson,57823
Austria,2021-06-04,Moderna,573859
Austria,2021-06-04,Oxford/AstraZeneca,1055079
Austria,2021-06-04,Pfizer/BioNTech,4028495
Austria,2021-06-11,Johnson&Johnson,79379
Austria,2021-06-11,Moderna,636619
Austria,2021-06-11,Oxford/AstraZeneca,1150241
Austria,2021-06-11,Pfizer/BioNTech,4465752
Austria,2021-06-18,Johnson&Johnson,94260
Austria,2021-06-18,Moderna,686098
Austria,2021-06-18,Oxford/AstraZeneca,1202549
Austria,2021-06-18,Pfizer/BioNTech,4919037
Austria,2021-06-25,Johnson&Johnson,102758
Austria,2021-06-25,Moderna,741651
Austria,2021-06-25,Oxford/AstraZeneca,1276319
Austria,2021-06-25,Pfizer/BioNTech,5362300
Austria,2021-07-02,Johnson&Johnson,128045
Austria,2021-07-02,Moderna,801498
Austria,2021-07-02,Oxford/AstraZeneca,1383966
Austria,2021-07-02,Pfizer/BioNTech,5751804
Austria,2021-07-09,Johnson&Johnson,151943
Austria,2021-07-09,Moderna,851629
Austria,2021-07-09,Oxford/AstraZeneca,1451599
Austria,2021-07-09,Pfizer/BioNTech,6077097
Austria,2021-07-16,Johnson&Johnson,171077
Austria,2021-07-16,Moderna,895846
Austria,2021-07-16,Oxford/AstraZeneca,1503112
Austria,2021-07-16,Pfizer/BioNTech,6347187
Austria,2021-07-23,Johnson&Johnson,187342
Austria,2021-07-23,Moderna,942036
Austria,2021-07-23,Oxford/AstraZeneca,1532757
Austria,2021-07-23,Pfizer/BioNTech,6593033
Austria,2021-07-30,Johnson&Johnson,199089
Austria,2021-07-30,Moderna,960671
Austria,2021-07-30,Oxford/AstraZeneca,1559124
Austria,2021-07-30,Pfizer/BioNTech,6800428
Austria,2021-08-06,Johnson&Johnson,213693
Austria,2021-08-06,Moderna,978209
Austria,2021-08-06,Oxford/AstraZeneca,1574492
Austria,2021-08-06,Pfizer/BioNTech,6974147
Austria,2021-08-13,Johnson&Johnson,218900
Austria,2021-08-13,Moderna,984997
