location,date,vaccine,total_vaccinations
Luxembourg,2021-01-01,Pfizer/BioNTech,0
Luxembourg,2021-01-08,Pfizer/BioNTech,1286
Luxembourg,2021-01-15,Moderna,0
Luxembourg,2021-01-15,Pfizer/BioNTech,2781
Luxembourg,2021-01-22,Moderna,284
Luxembourg,2021-01-22,Pfizer/BioNTech,5094
Luxembourg,2021-01-29,Moderna,418
Luxembourg,2021-01-29,Pfizer/BioNTech,8294
Luxembourg,2021-02-05,Moderna,841
Luxembourg,2021-02-05,Oxford/AstraZeneca,0
Luxembourg,2021-02-05,Pfizer/BioNTech,11765
Luxembourg,2021-02-12,Moderna,1032
Luxembourg,2021-02-12,Oxford/AstraZeneca,1134
Luxembourg,2021-02-12,Pfizer/BioNTech,13908
Luxembourg,2021-02-19,Moderna,1322
Luxembourg,2021-02-19,Oxford/AstraZeneca,3434
Luxembourg,2021-02-19,Pfizer/BioNTech,17339
Luxembourg,2021-02-26,Moderna,1639
Luxembourg,2021-02-26,Oxford/AstraZeneca,4035
Luxembourg,2021-02-26,Pfizer/BioNTech,21614
Luxembourg,2021-03-05,Moderna,2109
Luxembourg,2021-03-05,Oxford/AstraZeneca,5189
Luxembourg,2021-03-05,Pfizer/BioNTech,27760
Luxembourg,2021-03-12,Moderna,2608
Luxembourg,2021-03-12,Oxford/AstraZeneca,6423
Luxembourg,2021-03-12,Pfizer/BioNTech,37827
Luxembourg,2021-03-19,Moderna,4097
Luxembourg,2021-03-19,Oxford/AstraZeneca,7434
Luxembourg,2021-03-19,Pfizer/BioNTech,50251
Luxembourg,2021-03-26,Moderna,4303
Luxembourg,2021-03-26,Oxford/AstraZeneca,15973
Luxembourg,2021-03-26,Pfizer/BioNTech,53084
Luxembourg,2021-04-02,Moderna,4703
Luxembourg,2021-04-02,Oxford/AstraZeneca,30410
Luxembourg,2021-04-02,Pfizer/BioNTech,57271
Luxembourg,2021-04-09,Moderna,7196
Luxembourg,2021-04-09,Oxford/AstraZeneca,32145
Luxembourg,2021-04-09,Pfizer/BioNTech,77362
Luxembourg,2021-04-16,Johnson&Johnson,2186
Luxembourg,2021-04-16,Moderna,11658
Luxembourg,2021-04-16,Oxford/AstraZeneca,33920
Luxembourg,2021-04-16,Pfizer/BioNTech,102492
Luxembourg,2021-04-23,Johnson&Johnson,2381
Luxembourg,2021-04-23,Moderna,12215
Luxembourg,2021-04-23,Oxford/AstraZeneca,35023
Luxembourg,2021-04-23,Pfizer/BioNTech,114796
Luxembourg,2021-04-30,Johnson&Johnson,2381
Luxembourg,2021-04-30,Moderna,14497
Luxembourg,2021-04-30,Oxford/AstraZeneca,37287
Luxembourg,2021-04-30,Pfizer/BioNTech,130741
Luxembourg,2021-05-07,Johnson&Johnson,5882
Luxembourg,2021-05-07,Moderna,17399
Luxembourg,2021-05-07,Oxford/AstraZeneca,48648
Luxembourg,2021-05-07,Pfizer/BioNTech,153070
Luxembourg,2021-05-14,Johnson&Johnson,7787
Luxembourg,2021-05-14,Moderna,23456
Luxembourg,2021-05-14,Oxford/AstraZeneca,53660
Luxembourg,2021-05-14,Pfizer/BioNTech,183272
Luxembourg,2021-05-21,Johnson&Johnson,10939
Luxembourg,2021-05-21,Moderna,29662
Luxembourg,2021-05-21,Oxford/AstraZeneca,56211
Luxembourg,2021-05-21,Pfizer/BioNTech,205990
Luxembourg,2021-05-28,Johnson&Johnson,11440
Luxembourg,2021-05-28,Moderna,33780
Luxembourg,2021-05-28,Oxford/AstraZeneca,57395
Luxembourg,2021-05-28,Pfizer/BioNTech,225579
Luxembourg,2021-06-04,Johnson&Johnson,12879
Luxembourg,2021-06-04,Moderna,34602
Luxembourg,2021-06-04,Oxford/AstraZeneca,69241
Luxembourg,2021-06-04,Pfizer/BioNTech,254849
Luxembourg,2021-06-11,Johnson&Johnson,17014
Luxembourg,2021-06-11,Moderna,37685
Luxembourg,2021-06-11,Oxford/AstraZeneca,83869
Luxembourg,2021-06-11,Pfizer/BioNTech,282405
Luxembourg,2021-06-18,Johnson&Johnson,17945
Luxembourg,2021-06-18,Moderna,43318
