location,date,vaccine,total_vaccinations
Malta,2021-01-01,Pfizer/BioNTech,57
Malta,2021-01-08,Pfizer/BioNTech,4805
Malta,2021-01-15,Pfizer/BioNTech,11613
Malta,2021-01-22,Pfizer/BioNTech,20351
Malta,2021-01-29,Pfizer/BioNTech,28117
Malta,2021-02-05,Moderna,49
Malta,2021-02-05,Pfizer/BioNTech,44225
Malta,2021-02-12,Moderna,440
Malta,2021-02-12,Oxford/AstraZeneca,162
Malta,2021-02-12,Pfizer/BioNTech,60813
Malta,2021-02-19,Moderna,795
Malta,2021-02-19,Oxford/AstraZeneca,2782
Malta,2021-02-19,Pfizer/BioNTech,77229
Malta,2021-02-26,Moderna,920
Malta,2021-02-26,Oxford/AstraZeneca,10868
Malta,2021-02-26,Pfizer/BioNTech,95605
Malta,2021-03-05,Moderna,969
Malta,2021-03-05,Oxford/AstraZeneca,20025
Malta,2021-03-05,Pfizer/BioNTech,104214
Malta,2021-03-12,Moderna,981
Malta,2021-03-12,Oxford/AstraZeneca,23201
Malta,2021-03-12,Pfizer/BioNTech,117564
Malta,2021-03-19,Moderna,2491
Malta,2021-03-19,Oxford/AstraZeneca,29541
Malta,2021-03-19,Pfizer/BioNTech,129148
Malta,2021-03-26,Moderna,7311
Malta,2021-03-26,Oxford/AstraZeneca,33031
Malta,2021-03-26,Pfizer/BioNTech,146290
Malta,2021-04-02,Moderna,8760
Malta,2021-04-02,Oxford/AstraZeneca,44533
Malta,2021-04-02,Pfizer/BioNTech,164196
Malta,2021-04-09,Moderna,9320
Malta,2021-04-09,Oxford/AstraZeneca,57635
Malta,2021-04-09,Pfizer/BioNTech,183265
Malta,2021-04-16,Moderna,12794
Malta,2021-04-16,Oxford/AstraZeneca,68394
Malta,2021-04-16,Pfizer/BioNTech,208556
Malta,2021-04-23,Moderna,18146
Malta,2021-04-23,Oxford/AstraZeneca,83998
Malta,2021-04-23,Pfizer/BioNTech,224732
Malta,2021-04-30,Moderna,19451
Malta,2021-04-30,Oxford/AstraZeneca,90057
Malta,2021-04-30,Pfizer/BioNTech,253675
Malta,2021-05-07,Moderna,21473
Malta,2021-05-07,Oxford/AstraZeneca,95875
Malta,2021-05-07,Pfizer/BioNTech,286035
Malta,2021-05-14,Moderna,24240
Malta,2021-05-14,Oxford/AstraZeneca,110030
Malta,2021-05-14,Pfizer/BioNTech,312732
Malta,2021-05-21,Moderna,27127
Malta,2021-05-21,Oxford/AstraZeneca,125753
Malta,2021-05-21,Pfizer/BioNTech,347174
Malta,2021-05-28,Moderna,30114
Malta,2021-05-28,Oxford/AstraZeneca,135235
Malta,2021-05-28,Pfizer/BioNTech,375977
Malta,2021-06-04,Johnson&Johnson,258
Malta,2021-06-04,Moderna,32096
Malta,2021-06-04,Oxford/AstraZeneca,141669
Malta,2021-06-04,Pfizer/BioNTech,399208
Malta,2021-06-11,Johnson&Johnson,1703
Malta,2021-06-11,Moderna,34379
Malta,2021-06-11,Oxford/AstraZeneca,153344
Malta,2021-06-11,Pfizer/BioNTech,419169
Malta,2021-06-18,Johnson&Johnson,2703
Malta,2021-06-18,Moderna,37425
Malta,2021-06-18,Oxford/AstraZeneca,165143
Malta,2021-06-18,Pfizer/BioNTech,431740
Malta,2021-06-25,Johnson&Johnson,4210
Malta,2021-06-25,Moderna,40567
Malta,2021-06-25,Oxford/AstraZeneca,177152
Malta,2021-06-25,Pfizer/BioNTech,441758
Malta,2021-07-02,Johnson&Johnson,6041
Malta,2021-07-02,Moderna,41320
Malta,2021-07-02,Oxford/AstraZeneca,191200
Malta,2021-07-02,Pfizer/BioNTech,458633
Malta,2021-07-09,Johnson&Johnson,7314
Malta,2021-07-09,Moderna,41424
Malta,2021-07-09,Oxford/AstraZeneca,196949
Malta,2021-07-09,Pfizer/BioNTech,470887
Malta,2021-07-16,Johnson&Johnson,9063
Malta,2021-07-16,Moderna,41645
Malta,2021-07-16,Oxford/AstraZeneca,201383
Malta,2021-07-16,Pfizer/BioNTech,480365
Malta,2021-07-23,Johnson&Johnson,10687
Malta,2021-07-23,Moderna,41807
Malta,2021-07-23,Oxford/AstraZeneca,204382
Malta,2021-07-23,Pfizer/BioNTech,490122
Malta,2021-07-30,Johnson&Johnson,14779
Malta,2021-07-30,Moderna,41957
Malta,2021-07-30,Oxford/AstraZeneca,204852
Malta,2021-07-30,Pfizer/BioNTech,500712
