location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33754
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76941
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163696
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342736
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556708
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766667
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69117
Netherlands,2021-02-19,Pfizer/BioNTech,931852
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56588
Netherlands,2021-02-26,Oxford/AstraZeneca,182010
Netherlands,2021-02-26,Pfizer/BioNTech,1144272
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75073
Netherlands,2021-03-05,Oxford/AstraZeneca,257566
Netherlands,2021-03-05,Pfizer/BioNTech,1344552
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93971
Netherlands,2021-03-12,Oxford/AstraZeneca,358379
Netherlands,2021-03-12,Pfizer/BioNTech,1509953
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114008
Netherlands,2021-03-19,Oxford/AstraZeneca,358379
Netherlands,2021-03-19,Pfizer/BioNTech,1704303
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154729
Netherlands,2021-03-26,Oxford/AstraZeneca,454482
Netherlands,2021-03-26,Pfizer/BioNTech,1865492
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196134
Netherlands,2021-04-02,Oxford/AstraZeneca,575021
Netherlands,2021-04-02,Pfizer/BioNTech,2154356
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230342
Netherlands,2021-04-09,Oxford/AstraZeneca,844613
Netherlands,2021-04-09,Pfizer/BioNTech,2493909
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261748
Netherlands,2021-04-16,Oxford/AstraZeneca,1156621
Netherlands,2021-04-16,Pfizer/BioNTech,2957861
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,295992
Netherlands,2021-04-23,Oxford/AstraZeneca,1263484
Netherlands,2021-04-23,Pfizer/BioNTech,3461806
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325558
Netherlands,2021-04-30,Oxford/AstraZeneca,1352520
Netherlands,2021-04-30,Pfizer/BioNTech,3990223
Netherlands,2021-05-07,Johnson&Johnson,95475
Netherlands,2021-05-07,Moderna,374396
Netherlands,2021-05-07,Oxford/AstraZeneca,1498404
Netherlands,2021-05-07,Pfizer/BioNTech,4592497
Netherlands,2021-05-14,Johnson&Johnson,124392
Netherlands,2021-05-14,Moderna,451874
Netherlands,2021-05-14,Oxford/AstraZeneca,1688508
Netherlands,2021-05-14,Pfizer/BioNTech,5304321
Netherlands,2021-05-21,Johnson&Johnson,142112
Netherlands,2021-05-21,Moderna,536053
Netherlands,2021-05-21,Oxford/AstraZeneca,1836981
Netherlands,2021-05-21,Pfizer/BioNTech,6086575
Netherlands,2021-05-28,Johnson&Johnson,240258
Netherlands,2021-05-28,Moderna,639426
Netherlands,2021-05-28,Oxford/AstraZeneca,1952675
Netherlands,2021-05-28,Pfizer/BioNTech,6779411
Netherlands,2021-06-04,Johnson&Johnson,389395
Netherlands,2021-06-04,Moderna,781592
Netherlands,2021-06-04,Oxford/AstraZeneca,2088605
Netherlands,2021-06-04,Pfizer/BioNTech,7536565
Netherlands,2021-06-11,Johnson&Johnson,438244
Netherlands,2021-06-11,Moderna,944915
Netherlands,2021-06-11,Oxford/AstraZeneca,2302378
Netherlands,2021-06-11,Pfizer/BioNTech,8773138
Netherlands,2021-06-18,Johnson&Johnson,458319
Netherlands,2021-06-18,Moderna,1075480
Netherlands,2021-06-18,Oxford/AstraZeneca,2477640
Netherlands,2021-06-18,Pfizer/BioNTech,9867463
Netherlands,2021-06-25,Johnson&Johnson,541196
Netherlands,2021-06-25,Moderna,1187063
Netherlands,2021-06-25,Oxford/AstraZeneca,2639135
