location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Luxembourg,2021-06-01,18,24,4.43,3.53
Luxembourg,2021-06-01,25,49,30.73,8.15
Luxembourg,2021-06-01,50,59,74.22,47.72
Luxembourg,2021-06-01,60,69,77.67,61.81
Luxembourg,2021-06-01,70,79,80.31,56.45
Luxembourg,2021-06-01,80,,79.67,76.75
Luxembourg,2021-06-08,18,24,4.5,3.69
Luxembourg,2021-06-08,25,49,34.52,9.67
Luxembourg,2021-06-08,50,59,74.6,55.14
Luxembourg,2021-06-08,60,69,77.92,64.69
Luxembourg,2021-06-08,70,79,80.48,69.84
Luxembourg,2021-06-08,80,,79.75,77.32
