location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2021-01-08,18,24,0.04,0.0
Belgium,2021-01-08,25,49,0.11,0.0
Belgium,2021-01-08,50,59,0.16,0.0
Belgium,2021-01-08,60,69,0.16,0.0
Belgium,2021-01-08,70,79,0.37,0.0
Belgium,2021-01-08,80,,2.29,0.0
Belgium,2021-01-15,18,24,0.23,0.0
Belgium,2021-01-15,25,49,0.51,0.0
Belgium,2021-01-15,50,59,0.74,0.0
Belgium,2021-01-15,60,69,0.7,0.0
Belgium,2021-01-15,70,79,1.57,0.0
Belgium,2021-01-15,80,,10.49,0.0
Belgium,2021-01-22,18,24,0.97,0.0
Belgium,2021-01-22,25,49,1.61,0.0
Belgium,2021-01-22,50,59,2.02,0.01
Belgium,2021-01-22,60,69,1.61,0.0
Belgium,2021-01-22,70,79,2.59,0.01
Belgium,2021-01-22,80,,15.11,0.07
Belgium,2021-01-29,18,24,1.51,0.04
Belgium,2021-01-29,25,49,2.35,0.11
Belgium,2021-01-29,50,59,2.86,0.15
Belgium,2021-01-29,60,69,2.14,0.16
Belgium,2021-01-29,70,79,3.02,0.35
Belgium,2021-01-29,80,,16.37,2.11
Belgium,2021-02-05,18,24,1.79,0.22
Belgium,2021-02-05,25,49,2.88,0.49
Belgium,2021-02-05,50,59,3.46,0.72
Belgium,2021-02-05,60,69,2.52,0.67
Belgium,2021-02-05,70,79,3.24,1.49
Belgium,2021-02-05,80,,17.01,9.9
Belgium,2021-02-12,18,24,1.98,0.9
Belgium,2021-02-12,25,49,3.27,1.47
Belgium,2021-02-12,50,59,3.96,1.89
Belgium,2021-02-12,60,69,2.82,1.53
Belgium,2021-02-12,70,79,3.38,2.49
Belgium,2021-02-12,80,,17.33,14.38
Belgium,2021-02-19,18,24,2.43,1.44
Belgium,2021-02-19,25,49,3.97,2.23
Belgium,2021-02-19,50,59,4.69,2.75
Belgium,2021-02-19,60,69,3.15,2.07
Belgium,2021-02-19,70,79,3.52,2.9
Belgium,2021-02-19,80,,17.47,15.63
Belgium,2021-02-26,18,24,3.13,1.68
Belgium,2021-02-26,25,49,5.32,2.65
Belgium,2021-02-26,50,59,6.09,3.22
Belgium,2021-02-26,60,69,3.62,2.37
Belgium,2021-02-26,70,79,3.68,3.12
Belgium,2021-02-26,80,,17.6,16.3
Belgium,2021-03-05,18,24,4.33,1.88
Belgium,2021-03-05,25,49,7.2,3.06
Belgium,2021-03-05,50,59,8.05,3.7
Belgium,2021-03-05,60,69,4.56,2.66
Belgium,2021-03-05,70,79,4.32,3.24
Belgium,2021-03-05,80,,18.7,16.6
Belgium,2021-03-12,18,24,5.41,2.27
Belgium,2021-03-12,25,49,8.75,3.66
Belgium,2021-03-12,50,59,9.73,4.4
Belgium,2021-03-12,60,69,6.23,3.06
