location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Hungary,2021-01-01,18,24,0.0,0.0
Hungary,2021-01-01,25,49,0.02,0.0
Hungary,2021-01-01,50,59,0.02,0.0
Hungary,2021-01-01,60,69,0.01,0.0
Hungary,2021-01-01,70,79,0.0,0.0
Hungary,2021-01-01,80,,0.0,0.0
Hungary,2021-01-08,18,24,0.33,0.0
Hungary,2021-01-08,25,49,0.93,0.0
Hungary,2021-01-08,50,59,1.52,0.0
Hungary,2021-01-08,60,69,0.85,0.0
Hungary,2021-01-08,70,79,0.55,0.0
Hungary,2021-01-08,80,,0.64,0.0
Hungary,2021-01-15,18,24,0.79,0.0
Hungary,2021-01-15,25,49,1.55,0.01
Hungary,2021-01-15,50,59,2.51,0.01
Hungary,2021-01-15,60,69,1.45,0.01
Hungary,2021-01-15,70,79,0.96,0.0
Hungary,2021-01-15,80,,1.12,0.0
Hungary,2021-01-22,18,24,1.11,0.03
Hungary,2021-01-22,25,49,1.85,0.18
Hungary,2021-01-22,50,59,2.89,0.24
Hungary,2021-01-22,60,69,1.69,0.12
Hungary,2021-01-22,70,79,1.1,0.06
Hungary,2021-01-22,80,,1.18,0.02
Hungary,2021-01-29,18,24,1.59,0.3
Hungary,2021-01-29,25,49,2.62,0.89
Hungary,2021-01-29,50,59,4.27,1.47
Hungary,2021-01-29,60,69,2.74,0.83
Hungary,2021-01-29,70,79,2.32,0.54
Hungary,2021-01-29,80,,5.15,0.64
Hungary,2021-02-05,18,24,1.74,0.74
Hungary,2021-02-05,25,49,2.75,1.52
Hungary,2021-02-05,50,59,4.43,2.48
Hungary,2021-02-05,60,69,2.84,1.43
Hungary,2021-02-05,70,79,2.42,0.9
Hungary,2021-02-05,80,,13.09,0.88
Hungary,2021-02-12,18,24,1.78,1.08
Hungary,2021-02-12,25,49,2.92,1.83
Hungary,2021-02-12,50,59,5.74,2.9
Hungary,2021-02-12,60,69,2.98,1.69
Hungary,2021-02-12,70,79,3.28,1.12
Hungary,2021-02-12,80,,19.05,1.29
Hungary,2021-02-19,18,24,2.07,1.54
Hungary,2021-02-19,25,49,3.28,2.57
Hungary,2021-02-19,50,59,7.45,4.25
Hungary,2021-02-19,60,69,4.1,2.71
Hungary,2021-02-19,70,79,5.57,2.31
Hungary,2021-02-19,80,,24.96,5.11
Hungary,2021-02-26,18,24,2.2,1.7
Hungary,2021-02-26,25,49,3.86,2.72
Hungary,2021-02-26,50,59,9.91,4.46
Hungary,2021-02-26,60,69,9.54,2.86
Hungary,2021-02-26,70,79,16.67,2.49
