location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Estonia,2021-01-01,50,59,0.0,0.0
Estonia,2021-01-08,18,24,0.0,0.0
Estonia,2021-01-08,25,49,0.01,0.0
Estonia,2021-01-08,50,59,0.01,0.0
Estonia,2021-01-08,60,69,0.01,0.0
Estonia,2021-01-08,70,79,0.01,0.0
Estonia,2021-01-08,80,,0.02,0.0
Estonia,2021-01-15,18,24,0.01,0.01
Estonia,2021-01-15,25,49,0.02,0.01
Estonia,2021-01-15,50,59,0.03,0.01
Estonia,2021-01-15,60,69,0.03,0.01
Estonia,2021-01-15,70,79,0.02,0.0
Estonia,2021-01-15,80,,0.11,0.0
Estonia,2021-01-22,18,24,0.11,0.1
Estonia,2021-01-22,25,49,0.27,0.25
Estonia,2021-01-22,50,59,0.38,0.35
Estonia,2021-01-22,60,69,0.31,0.27
Estonia,2021-01-22,70,79,0.14,0.1
Estonia,2021-01-22,80,,0.23,0.02
Estonia,2021-01-29,18,24,0.57,0.56
Estonia,2021-01-29,25,49,1.05,1.03
Estonia,2021-01-29,50,59,1.5,1.46
Estonia,2021-01-29,60,69,1.29,1.24
Estonia,2021-01-29,70,79,0.57,0.51
Estonia,2021-01-29,80,,0.43,0.18
Estonia,2021-02-05,18,24,0.92,0.9
Estonia,2021-02-05,25,49,1.57,1.53
Estonia,2021-02-05,50,59,2.38,2.31
Estonia,2021-02-05,60,69,2.19,2.11
Estonia,2021-02-05,70,79,1.23,1.14
Estonia,2021-02-05,80,,1.83,1.49
Estonia,2021-02-12,18,24,1.06,1.03
Estonia,2021-02-12,25,49,1.81,1.77
Estonia,2021-02-12,50,59,2.86,2.77
Estonia,2021-02-12,60,69,2.71,2.62
Estonia,2021-02-12,70,79,1.81,1.68
Estonia,2021-02-12,80,,3.61,3.13
Estonia,2021-02-19,18,24,1.24,1.2
Estonia,2021-02-19,25,49,2.14,2.04
Estonia,2021-02-19,50,59,3.42,3.25
Estonia,2021-02-19,60,69,3.16,3.02
Estonia,2021-02-19,70,79,2.25,2.06
Estonia,2021-02-19,80,,4.66,4.07
Estonia,2021-02-26,18,24,1.54,1.45
Estonia,2021-02-26,25,49,2.64,2.46
Estonia,2021-02-26,50,59,4.22,3.96
Estonia,2021-02-26,60,69,3.9,3.68
Estonia,2021-02-26,70,79,3.24,3.03
Estonia,2021-02-26,80,,7.43,6.78
Estonia,2021-03-05,18,24,2.0,1.86
Estonia,2021-03-05,25,49,2.99,2.72
Estonia,2021-03-05,50,59,4.79,4.39
Estonia,2021-03-05,60,69,4.52,4.15
Estonia,2021-03-05,70,79,4.77,4.54
Estonia,2021-03-05,80,,14.18,13.43
Estonia,2021-03-12,18,24,2.14,1.94
Estonia,2021-03-12,25,49,3.23,2.86
Estonia,2021-03-12,50,59,5.21,4.67
Estonia,2021-03-12,60,69,5.21,4.58
Estonia,2021-03-12,70,79,7.2,6.79
Estonia,2021-03-12,80,,19.91,19.0
Estonia,2021-03-19,18,24,2.32,2.01
Estonia,2021-03-19,25,49,3.4,2.93
Estonia,2021-03-19,50,59,5.49,4.78
Estonia,2021-03-19,60,69,5.53,4.74
Estonia,2021-03-19,70,79,8.36,7.71
Estonia,2021-03-19,80,,23.39,22.24
Estonia,2021-03-26,18,24,2.5,2.07
