location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Poland,2020-12-29,18,24,0.0,0.0
Poland,2020-12-29,25,49,0.01,0.0
Poland,2020-12-29,50,59,0.01,0.0
Poland,2020-12-29,60,69,0.01,0.0
Poland,2020-12-29,70,79,0.0,0.0
Poland,2020-12-29,80,,0.0,0.0
Poland,2021-01-05,18,24,0.32,0.0
Poland,2021-01-05,25,49,0.7,0.0
Poland,2021-01-05,50,59,1.37,0.0
Poland,2021-01-05,60,69,0.66,0.0
Poland,2021-01-05,70,79,0.25,0.0
Poland,2021-01-05,80,,0.13,0.0
Poland,2021-01-12,18,24,1.13,0.0
Poland,2021-01-12,25,49,1.61,0.0
Poland,2021-01-12,50,59,2.91,0.0
Poland,2021-01-12,60,69,1.44,0.0
Poland,2021-01-12,70,79,0.55,0.0
Poland,2021-01-12,80,,0.29,0.0
Poland,2021-01-19,18,24,1.5,0.04
Poland,2021-01-19,25,49,2.07,0.16
Poland,2021-01-19,50,59,3.66,0.32
Poland,2021-01-19,60,69,2.01,0.16
Poland,2021-01-19,70,79,1.21,0.06
Poland,2021-01-19,80,,2.47,0.03
Poland,2021-01-26,18,24,1.84,0.29
Poland,2021-01-26,25,49,2.44,0.66
Poland,2021-01-26,50,59,4.18,1.31
Poland,2021-01-26,60,69,2.34,0.64
Poland,2021-01-26,70,79,2.45,0.24
Poland,2021-01-26,80,,13.19,0.12
Poland,2021-02-02,18,24,1.97,1.03
Poland,2021-02-02,25,49,2.56,1.5
Poland,2021-02-02,50,59,4.34,2.75
Poland,2021-02-02,60,69,2.53,1.38
Poland,2021-02-02,70,79,4.69,0.52
Poland,2021-02-02,80,,21.62,0.28
Poland,2021-02-09,18,24,2.09,1.38
Poland,2021-02-09,25,49,2.76,2.0
Poland,2021-02-09,50,59,4.64,3.55
Poland,2021-02-09,60,69,2.8,1.96
Poland,2021-02-09,70,79,8.46,1.17
Poland,2021-02-09,80,,28.26,2.37
Poland,2021-02-16,18,24,2.22,1.69
Poland,2021-02-16,25,49,3.29,2.33
Poland,2021-02-16,50,59,5.57,4.04
Poland,2021-02-16,60,69,3.09,2.26
Poland,2021-02-16,70,79,12.07,2.19
Poland,2021-02-16,80,,32.59,12.15
Poland,2021-02-23,18,24,2.32,1.89
Poland,2021-02-23,25,49,4.0,2.5
Poland,2021-02-23,50,59,6.81,4.26
Poland,2021-02-23,60,69,3.6,2.48
Poland,2021-02-23,70,79,16.27,4.33
Poland,2021-02-23,80,,36.15,20.72
Poland,2021-03-02,18,24,2.44,2.02
Poland,2021-03-02,25,49,4.81,2.62
Poland,2021-03-02,50,59,8.1,4.41
Poland,2021-03-02,60,69,4.29,2.72
Poland,2021-03-02,70,79,20.95,7.69
Poland,2021-03-02,80,,39.2,27.25
Poland,2021-03-09,18,24,2.87,2.08
Poland,2021-03-09,25,49,5.3,2.69
Poland,2021-03-09,50,59,8.74,4.51
Poland,2021-03-09,60,69,5.09,2.9
Poland,2021-03-09,70,79,26.77,10.59
Poland,2021-03-09,80,,42.42,31.2
Poland,2021-03-16,18,24,3.18,2.12
Poland,2021-03-16,25,49,5.55,2.74
