location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Slovakia,2021-01-08,18,24,0.35,0.0
Slovakia,2021-01-08,25,49,0.75,0.0
Slovakia,2021-01-08,50,59,1.03,0.0
Slovakia,2021-01-08,60,69,0.63,0.0
Slovakia,2021-01-08,70,79,0.25,0.0
Slovakia,2021-01-08,80,,0.09,0.0
Slovakia,2021-01-15,18,24,0.83,0.0
Slovakia,2021-01-15,25,49,1.58,0.0
Slovakia,2021-01-15,50,59,2.16,0.0
Slovakia,2021-01-15,60,69,1.33,0.0
Slovakia,2021-01-15,70,79,0.51,0.0
Slovakia,2021-01-15,80,,0.19,0.0
Slovakia,2021-01-22,18,24,1.48,0.02
Slovakia,2021-01-22,25,49,2.41,0.07
Slovakia,2021-01-22,50,59,3.29,0.09
Slovakia,2021-01-22,60,69,2.01,0.06
Slovakia,2021-01-22,70,79,0.89,0.02
Slovakia,2021-01-22,80,,0.75,0.0
Slovakia,2021-01-29,18,24,1.96,0.08
Slovakia,2021-01-29,25,49,2.83,0.24
Slovakia,2021-01-29,50,59,3.85,0.33
Slovakia,2021-01-29,60,69,2.53,0.2
Slovakia,2021-01-29,70,79,2.85,0.08
Slovakia,2021-01-29,80,,8.34,0.03
Slovakia,2021-02-05,18,24,2.19,0.36
Slovakia,2021-02-05,25,49,3.03,0.8
Slovakia,2021-02-05,50,59,4.13,1.09
Slovakia,2021-02-05,60,69,2.95,0.67
Slovakia,2021-02-05,70,79,8.26,0.27
Slovakia,2021-02-05,80,,16.06,0.1
Slovakia,2021-02-12,18,24,2.63,0.83
Slovakia,2021-02-12,25,49,3.76,1.57
Slovakia,2021-02-12,50,59,4.91,2.15
Slovakia,2021-02-12,60,69,3.48,1.33
Slovakia,2021-02-12,70,79,11.97,0.52
Slovakia,2021-02-12,80,,21.46,0.22
Slovakia,2021-02-19,18,24,2.91,1.44
Slovakia,2021-02-19,25,49,4.51,2.34
Slovakia,2021-02-19,50,59,5.99,3.19
Slovakia,2021-02-19,60,69,4.28,1.96
Slovakia,2021-02-19,70,79,13.48,0.9
Slovakia,2021-02-19,80,,23.47,0.76
Slovakia,2021-02-26,18,24,3.29,1.91
Slovakia,2021-02-26,25,49,5.49,2.78
Slovakia,2021-02-26,50,59,6.88,3.77
Slovakia,2021-02-26,60,69,4.64,2.47
Slovakia,2021-02-26,70,79,14.66,2.59
Slovakia,2021-02-26,80,,25.19,7.72
Slovakia,2021-03-05,18,24,3.86,2.16
Slovakia,2021-03-05,25,49,6.86,2.99
Slovakia,2021-03-05,50,59,8.54,4.06
Slovakia,2021-03-05,60,69,5.46,2.88
Slovakia,2021-03-05,70,79,15.1,8.01
Slovakia,2021-03-05,80,,25.92,15.44
Slovakia,2021-03-12,18,24,4.02,2.5
Slovakia,2021-03-12,25,49,7.19,3.24
Slovakia,2021-03-12,50,59,9.07,4.43
Slovakia,2021-03-12,60,69,11.05,3.41
Slovakia,2021-03-12,70,79,19.1,11.7
Slovakia,2021-03-12,80,,27.11,20.79
Slovakia,2021-03-19,18,24,4.38,2.69
Slovakia,2021-03-19,25,49,7.7,3.45
Slovakia,2021-03-19,50,59,10.31,5.08
Slovakia,2021-03-19,60,69,16.21,4.19
Slovakia,2021-03-19,70,79,30.53,13.22
