date,location,vaccine,total_vaccinations
2021-02-27,Uruguay,Oxford/AstraZeneca,0
2021-02-27,Uruguay,Pfizer/BioNTech,0
2021-02-27,Uruguay,Sinovac,372
2021-02-28,Uruguay,Oxford/AstraZeneca,0
2021-02-28,Uruguay,Pfizer/BioNTech,1
2021-02-28,Uruguay,Sinovac,372
2021-03-01,Uruguay,Oxford/AstraZeneca,0
2021-03-01,Uruguay,Pfizer/BioNTech,1
2021-03-01,Uruguay,Sinovac,18394
2021-03-02,Uruguay,Oxford/AstraZeneca,0
2021-03-02,Uruguay,Pfizer/BioNTech,18
2021-03-02,Uruguay,Sinovac,33104
2021-03-03,Uruguay,Oxford/AstraZeneca,0
2021-03-03,Uruguay,Pfizer/BioNTech,21
2021-03-03,Uruguay,Sinovac,54396
2021-03-04,Uruguay,Oxford/AstraZeneca,0
2021-03-04,Uruguay,Pfizer/BioNTech,23
2021-03-04,Uruguay,Sinovac,63372
2021-03-05,Uruguay,Oxford/AstraZeneca,0
2021-03-05,Uruguay,Pfizer/BioNTech,26
2021-03-05,Uruguay,Sinovac,72559
2021-03-06,Uruguay,Oxford/AstraZeneca,1
2021-03-06,Uruguay,Pfizer/BioNTech,26
2021-03-06,Uruguay,Sinovac,72560
2021-03-07,Uruguay,Oxford/AstraZeneca,1
2021-03-07,Uruguay,Pfizer/BioNTech,27
2021-03-07,Uruguay,Sinovac,72560
2021-03-08,Uruguay,Oxford/AstraZeneca,1
2021-03-08,Uruguay,Pfizer/BioNTech,29
2021-03-08,Uruguay,Sinovac,100697
2021-03-09,Uruguay,Oxford/AstraZeneca,1
2021-03-09,Uruguay,Pfizer/BioNTech,35
2021-03-09,Uruguay,Sinovac,122519
2021-03-10,Uruguay,Oxford/AstraZeneca,1
2021-03-10,Uruguay,Pfizer/BioNTech,37
2021-03-10,Uruguay,Sinovac,147692
2021-03-11,Uruguay,Oxford/AstraZeneca,2
2021-03-11,Uruguay,Pfizer/BioNTech,43
2021-03-11,Uruguay,Sinovac,170094
2021-03-12,Uruguay,Oxford/AstraZeneca,2
2021-03-12,Uruguay,Pfizer/BioNTech,21946
2021-03-12,Uruguay,Sinovac,170899
2021-03-13,Uruguay,Oxford/AstraZeneca,2
2021-03-13,Uruguay,Pfizer/BioNTech,32271
2021-03-13,Uruguay,Sinovac,170990
2021-03-14,Uruguay,Oxford/AstraZeneca,2
2021-03-14,Uruguay,Pfizer/BioNTech,32271
2021-03-14,Uruguay,Sinovac,170991
2021-03-15,Uruguay,Oxford/AstraZeneca,2
2021-03-15,Uruguay,Pfizer/BioNTech,38506
2021-03-15,Uruguay,Sinovac,176010
2021-03-16,Uruguay,Oxford/AstraZeneca,2
2021-03-16,Uruguay,Pfizer/BioNTech,40521
2021-03-16,Uruguay,Sinovac,180652
2021-03-17,Uruguay,Oxford/AstraZeneca,2
2021-03-17,Uruguay,Pfizer/BioNTech,41977
2021-03-17,Uruguay,Sinovac,187079
2021-03-18,Uruguay,Oxford/AstraZeneca,3
2021-03-18,Uruguay,Pfizer/BioNTech,42203
2021-03-18,Uruguay,Sinovac,223358
2021-03-19,Uruguay,Oxford/AstraZeneca,30
2021-03-19,Uruguay,Pfizer/BioNTech,42301
2021-03-19,Uruguay,Sinovac,259528
2021-03-20,Uruguay,Oxford/AstraZeneca,33
2021-03-20,Uruguay,Pfizer/BioNTech,42330
2021-03-20,Uruguay,Sinovac,271978
2021-03-21,Uruguay,Oxford/AstraZeneca,33
2021-03-21,Uruguay,Pfizer/BioNTech,42342
2021-03-21,Uruguay,Sinovac,271985
2021-03-22,Uruguay,Oxford/AstraZeneca,34
2021-03-22,Uruguay,Pfizer/BioNTech,60272
2021-03-22,Uruguay,Sinovac,292710
2021-03-23,Uruguay,Oxford/AstraZeneca,34
2021-03-23,Uruguay,Pfizer/BioNTech,76662
2021-03-23,Uruguay,Sinovac,312699
2021-03-24,Uruguay,Oxford/AstraZeneca,34
2021-03-24,Uruguay,Pfizer/BioNTech,87131
2021-03-24,Uruguay,Sinovac,337582
2021-03-25,Uruguay,Oxford/AstraZeneca,34
2021-03-25,Uruguay,Pfizer/BioNTech,96260
2021-03-25,Uruguay,Sinovac,372009
2021-03-26,Uruguay,Oxford/AstraZeneca,35
2021-03-26,Uruguay,Pfizer/BioNTech,104928
2021-03-26,Uruguay,Sinovac,404472
2021-03-27,Uruguay,Oxford/AstraZeneca,35
2021-03-27,Uruguay,Pfizer/BioNTech,108208
2021-03-27,Uruguay,Sinovac,414343
2021-03-28,Uruguay,Oxford/AstraZeneca,35
2021-03-28,Uruguay,Pfizer/BioNTech,108211
2021-03-28,Uruguay,Sinovac,414347
2021-03-29,Uruguay,Oxford/AstraZeneca,39
2021-03-29,Uruguay,Pfizer/BioNTech,116971
2021-03-29,Uruguay,Sinovac,459833
2021-03-30,Uruguay,Oxford/AstraZeneca,39
2021-03-30,Uruguay,Pfizer/BioNTech,125715
2021-03-30,Uruguay,Sinovac,503129
2021-03-31,Uruguay,Oxford/AstraZeneca,39
2021-03-31,Uruguay,Pfizer/BioNTech,134207
2021-03-31,Uruguay,Sinovac,552483
2021-04-01,Uruguay,Oxford/AstraZeneca,40
2021-04-01,Uruguay,Pfizer/BioNTech,142939
2021-04-01,Uruguay,Sinovac,591761
2021-04-02,Uruguay,Oxford/AstraZeneca,40
2021-04-02,Uruguay,Pfizer/BioNTech,152578
2021-04-02,Uruguay,Sinovac,631188
2021-04-03,Uruguay,Oxford/AstraZeneca,40
2021-04-03,Uruguay,Pfizer/BioNTech,155911
2021-04-03,Uruguay,Sinovac,640195
2021-04-04,Uruguay,Oxford/AstraZeneca,41
2021-04-04,Uruguay,Pfizer/BioNTech,155913
2021-04-04,Uruguay,Sinovac,640200
2021-04-05,Uruguay,Oxford/AstraZeneca,42
2021-04-05,Uruguay,Pfizer/BioNTech,156617
2021-04-05,Uruguay,Sinovac,677782
2021-04-06,Uruguay,Oxford/AstraZeneca,42
2021-04-06,Uruguay,Pfizer/BioNTech,157279
2021-04-06,Uruguay,Sinovac,721191
2021-04-07,Uruguay,Oxford/AstraZeneca,54
2021-04-07,Uruguay,Pfizer/BioNTech,157290
2021-04-07,Uruguay,Sinovac,767273
2021-04-08,Uruguay,Oxford/AstraZeneca,54
2021-04-08,Uruguay,Pfizer/BioNTech,157309
2021-04-08,Uruguay,Sinovac,815961
2021-04-09,Uruguay,Oxford/AstraZeneca,54
2021-04-09,Uruguay,Pfizer/BioNTech,186442
2021-04-09,Uruguay,Sinovac,826560
2021-04-10,Uruguay,Oxford/AstraZeneca,54
2021-04-10,Uruguay,Pfizer/BioNTech,209799
2021-04-10,Uruguay,Sinovac,830219
2021-04-11,Uruguay,Oxford/AstraZeneca,55
2021-04-11,Uruguay,Pfizer/BioNTech,209801
2021-04-11,Uruguay,Sinovac,830579
2021-04-12,Uruguay,Oxford/AstraZeneca,55
2021-04-12,Uruguay,Pfizer/BioNTech,220560
2021-04-12,Uruguay,Sinovac,872995
2021-04-13,Uruguay,Oxford/AstraZeneca,56
2021-04-13,Uruguay,Pfizer/BioNTech,233244
2021-04-13,Uruguay,Sinovac,917513
2021-04-14,Uruguay,Oxford/AstraZeneca,57
2021-04-14,Uruguay,Pfizer/BioNTech,245542
2021-04-14,Uruguay,Sinovac,962921
2021-04-15,Uruguay,Oxford/AstraZeneca,58
2021-04-15,Uruguay,Pfizer/BioNTech,256709
2021-04-15,Uruguay,Sinovac,1015334
2021-04-16,Uruguay,Oxford/AstraZeneca,58
2021-04-16,Uruguay,Pfizer/BioNTech,267649
2021-04-16,Uruguay,Sinovac,1067098
2021-04-17,Uruguay,Oxford/AstraZeneca,18775
2021-04-17,Uruguay,Pfizer/BioNTech,271314
2021-04-17,Uruguay,Sinovac,1079643
2021-04-18,Uruguay,Oxford/AstraZeneca,33818
2021-04-18,Uruguay,Pfizer/BioNTech,271628
2021-04-18,Uruguay,Sinovac,1079882
2021-04-19,Uruguay,Oxford/AstraZeneca,34716
2021-04-19,Uruguay,Pfizer/BioNTech,287356
2021-04-19,Uruguay,Sinovac,1102071
2021-04-20,Uruguay,Oxford/AstraZeneca,35311
2021-04-20,Uruguay,Pfizer/BioNTech,307415
2021-04-20,Uruguay,Sinovac,1127107
2021-04-21,Uruguay,Oxford/AstraZeneca,36156
2021-04-21,Uruguay,Pfizer/BioNTech,324885
2021-04-21,Uruguay,Sinovac,1155251
2021-04-22,Uruguay,Oxford/AstraZeneca,36991
2021-04-22,Uruguay,Pfizer/BioNTech,337432
2021-04-22,Uruguay,Sinovac,1193048
2021-04-23,Uruguay,Oxford/AstraZeneca,37843
2021-04-23,Uruguay,Pfizer/BioNTech,352769
2021-04-23,Uruguay,Sinovac,1227948
2021-04-24,Uruguay,Oxford/AstraZeneca,38351
2021-04-24,Uruguay,Pfizer/BioNTech,362422
2021-04-24,Uruguay,Sinovac,1240100
2021-04-25,Uruguay,Oxford/AstraZeneca,38351
2021-04-25,Uruguay,Pfizer/BioNTech,362425
2021-04-25,Uruguay,Sinovac,1240610
2021-04-26,Uruguay,Oxford/AstraZeneca,39162
2021-04-26,Uruguay,Pfizer/BioNTech,375800
2021-04-26,Uruguay,Sinovac,1271591
