date,vaccine,total_vaccinations,location
2020-12-28,Pfizer/BioNTech,1.0,Iceland
2020-12-29,Pfizer/BioNTech,2524.0,Iceland
2020-12-30,Pfizer/BioNTech,4941.0,Iceland
2020-12-31,Pfizer/BioNTech,4942.0,Iceland
2021-01-01,Pfizer/BioNTech,4942.0,Iceland
2021-01-02,Pfizer/BioNTech,4942.0,Iceland
2021-01-03,Pfizer/BioNTech,4942.0,Iceland
2021-01-04,Pfizer/BioNTech,4942.0,Iceland
2021-01-05,Pfizer/BioNTech,4949.0,Iceland
2021-01-06,Pfizer/BioNTech,4949.0,Iceland
2021-01-07,Pfizer/BioNTech,4950.0,Iceland
2021-01-08,Pfizer/BioNTech,4950.0,Iceland
2021-01-09,Pfizer/BioNTech,4950.0,Iceland
2021-01-10,Pfizer/BioNTech,4950.0,Iceland
2021-01-11,Pfizer/BioNTech,4950.0,Iceland
2021-01-12,Pfizer/BioNTech,4951.0,Iceland
2021-01-13,Pfizer/BioNTech,4951.0,Iceland
2021-01-14,Pfizer/BioNTech,4951.0,Iceland
2021-01-15,Pfizer/BioNTech,4951.0,Iceland
2021-01-16,Pfizer/BioNTech,4951.0,Iceland
2021-01-17,Pfizer/BioNTech,4951.0,Iceland
2021-01-18,Pfizer/BioNTech,4983.0,Iceland
2021-01-19,Pfizer/BioNTech,6077.0,Iceland
2021-01-20,Pfizer/BioNTech,7839.0,Iceland
2021-01-21,Pfizer/BioNTech,11617.0,Iceland
2021-01-22,Pfizer/BioNTech,13508.0,Iceland
2021-01-23,Pfizer/BioNTech,14058.0,Iceland
2021-01-24,Pfizer/BioNTech,14058.0,Iceland
2021-01-25,Pfizer/BioNTech,14215.0,Iceland
2021-01-26,Pfizer/BioNTech,14322.0,Iceland
2021-01-27,Pfizer/BioNTech,14336.0,Iceland
2021-01-28,Pfizer/BioNTech,14338.0,Iceland
2021-01-29,Pfizer/BioNTech,14339.0,Iceland
2021-01-30,Pfizer/BioNTech,14339.0,Iceland
2021-01-31,Pfizer/BioNTech,14339.0,Iceland
2021-02-01,Pfizer/BioNTech,14776.0,Iceland
2021-02-02,Pfizer/BioNTech,15791.0,Iceland
2021-02-03,Pfizer/BioNTech,16320.0,Iceland
2021-02-04,Pfizer/BioNTech,16359.0,Iceland
2021-02-05,Pfizer/BioNTech,16383.0,Iceland
2021-02-06,Pfizer/BioNTech,16503.0,Iceland
2021-02-07,Pfizer/BioNTech,16503.0,Iceland
2021-02-08,Pfizer/BioNTech,16503.0,Iceland
2021-02-09,Pfizer/BioNTech,16503.0,Iceland
2021-02-10,Pfizer/BioNTech,16504.0,Iceland
2021-02-11,Pfizer/BioNTech,16506.0,Iceland
2021-02-12,Pfizer/BioNTech,16520.0,Iceland
2021-02-13,Pfizer/BioNTech,16520.0,Iceland
2021-02-14,Pfizer/BioNTech,16520.0,Iceland
2021-02-15,Pfizer/BioNTech,16522.0,Iceland
2021-02-16,Pfizer/BioNTech,17817.0,Iceland
2021-02-17,Pfizer/BioNTech,20245.0,Iceland
2021-02-18,Pfizer/BioNTech,20696.0,Iceland
2021-02-19,Pfizer/BioNTech,20882.0,Iceland
2021-02-20,Pfizer/BioNTech,21233.0,Iceland
2021-02-21,Pfizer/BioNTech,21233.0,Iceland
2021-02-22,Pfizer/BioNTech,21259.0,Iceland
2021-02-23,Pfizer/BioNTech,22633.0,Iceland
2021-02-24,Pfizer/BioNTech,23944.0,Iceland
2021-02-25,Pfizer/BioNTech,24463.0,Iceland
2021-02-26,Pfizer/BioNTech,24621.0,Iceland
2021-02-27,Pfizer/BioNTech,24780.0,Iceland
2021-02-28,Pfizer/BioNTech,24780.0,Iceland
2021-03-01,Pfizer/BioNTech,24780.0,Iceland
2021-03-02,Pfizer/BioNTech,27138.0,Iceland
2021-03-03,Pfizer/BioNTech,29892.0,Iceland
2021-03-04,Pfizer/BioNTech,30075.0,Iceland
2021-03-05,Pfizer/BioNTech,30079.0,Iceland
2021-03-06,Pfizer/BioNTech,30081.0,Iceland
2021-03-07,Pfizer/BioNTech,30081.0,Iceland
2021-03-08,Pfizer/BioNTech,30083.0,Iceland
2021-03-09,Pfizer/BioNTech,32769.0,Iceland
2021-03-10,Pfizer/BioNTech,33356.0,Iceland
2021-03-11,Pfizer/BioNTech,33785.0,Iceland
2021-03-12,Pfizer/BioNTech,33982.0,Iceland
2021-03-13,Pfizer/BioNTech,33983.0,Iceland
2021-03-14,Pfizer/BioNTech,33983.0,Iceland
2021-03-15,Pfizer/BioNTech,34003.0,Iceland
2021-03-16,Pfizer/BioNTech,37236.0,Iceland
2021-03-17,Pfizer/BioNTech,37764.0,Iceland
2021-03-18,Pfizer/BioNTech,38806.0,Iceland
2021-03-19,Pfizer/BioNTech,38993.0,Iceland
2021-03-20,Pfizer/BioNTech,38993.0,Iceland
2021-03-21,Pfizer/BioNTech,38994.0,Iceland
2021-03-22,Pfizer/BioNTech,40644.0,Iceland
2021-03-23,Pfizer/BioNTech,43615.0,Iceland
2021-03-24,Pfizer/BioNTech,44061.0,Iceland
2021-03-25,Pfizer/BioNTech,44506.0,Iceland
2021-03-26,Pfizer/BioNTech,44939.0,Iceland
2021-03-27,Pfizer/BioNTech,45326.0,Iceland
2021-03-28,Pfizer/BioNTech,45658.0,Iceland
2021-03-29,Pfizer/BioNTech,46519.0,Iceland
2021-03-30,Pfizer/BioNTech,50029.0,Iceland
2021-03-31,Pfizer/BioNTech,50874.0,Iceland
2021-04-01,Pfizer/BioNTech,50879.0,Iceland
2021-04-02,Pfizer/BioNTech,50882.0,Iceland
2021-04-03,Pfizer/BioNTech,50882.0,Iceland
2021-04-04,Pfizer/BioNTech,50884.0,Iceland
2021-04-05,Pfizer/BioNTech,50884.0,Iceland
2021-04-06,Pfizer/BioNTech,50887.0,Iceland
2021-04-07,Pfizer/BioNTech,55185.0,Iceland
2021-04-08,Pfizer/BioNTech,57523.0,Iceland
2021-04-09,Pfizer/BioNTech,58022.0,Iceland
2021-04-10,Pfizer/BioNTech,58042.0,Iceland
2021-04-11,Pfizer/BioNTech,58043.0,Iceland
2021-04-12,Pfizer/BioNTech,58045.0,Iceland
2021-04-13,Pfizer/BioNTech,64232.0,Iceland
2021-04-14,Pfizer/BioNTech,65714.0,Iceland
2021-04-15,Pfizer/BioNTech,66920.0,Iceland
2021-04-16,Pfizer/BioNTech,67759.0,Iceland
2021-04-17,Pfizer/BioNTech,68109.0,Iceland
2021-04-18,Pfizer/BioNTech,68431.0,Iceland
2021-04-19,Pfizer/BioNTech,68892.0,Iceland
2021-04-20,Pfizer/BioNTech,75598.0,Iceland
2021-04-21,Pfizer/BioNTech,77267.0,Iceland
2021-04-22,Pfizer/BioNTech,77270.0,Iceland
2021-04-23,Pfizer/BioNTech,77720.0,Iceland
2021-04-24,Pfizer/BioNTech,77721.0,Iceland
2021-04-25,Pfizer/BioNTech,77722.0,Iceland
2021-04-26,Pfizer/BioNTech,77724.0,Iceland
2021-04-27,Pfizer/BioNTech,85107.0,Iceland
2021-04-28,Pfizer/BioNTech,86621.0,Iceland
2021-04-29,Pfizer/BioNTech,88238.0,Iceland
2021-04-30,Pfizer/BioNTech,88328.0,Iceland
2021-05-01,Pfizer/BioNTech,88519.0,Iceland
2021-05-02,Pfizer/BioNTech,88520.0,Iceland
2021-05-03,Pfizer/BioNTech,88530.0,Iceland
2021-05-04,Pfizer/BioNTech,99500.0,Iceland
2021-05-05,Pfizer/BioNTech,102451.0,Iceland
2021-05-06,Pfizer/BioNTech,104656.0,Iceland
2021-05-07,Pfizer/BioNTech,104691.0,Iceland
2021-05-08,Pfizer/BioNTech,104693.0,Iceland
2021-05-09,Pfizer/BioNTech,104696.0,Iceland
2021-05-10,Pfizer/BioNTech,104728.0,Iceland
2021-05-11,Pfizer/BioNTech,114778.0,Iceland
2021-05-12,Pfizer/BioNTech,117578.0,Iceland
2021-05-13,Pfizer/BioNTech,117581.0,Iceland
