location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,30916
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,88
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115400
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,298
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,212564
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4157
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257154
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5837
Austria,2021-02-05,Oxford/AstraZeneca,1
Austria,2021-02-05,Pfizer/BioNTech,352335
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9901
Austria,2021-02-12,Oxford/AstraZeneca,10763
Austria,2021-02-12,Pfizer/BioNTech,453190
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14020
Austria,2021-02-19,Oxford/AstraZeneca,43467
Austria,2021-02-19,Pfizer/BioNTech,518661
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22281
Austria,2021-02-26,Oxford/AstraZeneca,101138
Austria,2021-02-26,Pfizer/BioNTech,579579
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31525
Austria,2021-03-05,Oxford/AstraZeneca,155768
Austria,2021-03-05,Pfizer/BioNTech,683530
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,46820
Austria,2021-03-12,Oxford/AstraZeneca,233887
Austria,2021-03-12,Pfizer/BioNTech,846345
Austria,2021-03-19,Johnson&Johnson,13
Austria,2021-03-19,Moderna,78524
Austria,2021-03-19,Oxford/AstraZeneca,306836
Austria,2021-03-19,Pfizer/BioNTech,978392
Austria,2021-03-26,Johnson&Johnson,20
Austria,2021-03-26,Moderna,103829
Austria,2021-03-26,Oxford/AstraZeneca,381656
Austria,2021-03-26,Pfizer/BioNTech,1123725
Austria,2021-04-02,Johnson&Johnson,30
Austria,2021-04-02,Moderna,139997
Austria,2021-04-02,Oxford/AstraZeneca,420020
Austria,2021-04-02,Pfizer/BioNTech,1270901
Austria,2021-04-09,Johnson&Johnson,51
Austria,2021-04-09,Moderna,179318
Austria,2021-04-09,Oxford/AstraZeneca,509888
Austria,2021-04-09,Pfizer/BioNTech,1491447
Austria,2021-04-16,Johnson&Johnson,53
Austria,2021-04-16,Moderna,221554
Austria,2021-04-16,Oxford/AstraZeneca,604909
Austria,2021-04-16,Pfizer/BioNTech,1723768
Austria,2021-04-23,Johnson&Johnson,58
Austria,2021-04-23,Moderna,258682
Austria,2021-04-23,Oxford/AstraZeneca,653393
Austria,2021-04-23,Pfizer/BioNTech,1986054
Austria,2021-04-30,Johnson&Johnson,305
Austria,2021-04-30,Moderna,297433
Austria,2021-04-30,Oxford/AstraZeneca,695282
Austria,2021-04-30,Pfizer/BioNTech,2258124
Austria,2021-05-07,Johnson&Johnson,6388
Austria,2021-05-07,Moderna,346351
Austria,2021-05-07,Oxford/AstraZeneca,757672
Austria,2021-05-07,Pfizer/BioNTech,2586812
Austria,2021-05-14,Johnson&Johnson,13308
Austria,2021-05-14,Moderna,395795
Austria,2021-05-14,Oxford/AstraZeneca,821236
Austria,2021-05-14,Pfizer/BioNTech,2885067
Austria,2021-05-21,Johnson&Johnson,25493
Austria,2021-05-21,Moderna,463146
Austria,2021-05-21,Oxford/AstraZeneca,898120
Austria,2021-05-21,Pfizer/BioNTech,3260997
Austria,2021-05-28,Johnson&Johnson,37542
Austria,2021-05-28,Moderna,516082
Austria,2021-05-28,Oxford/AstraZeneca,980215
Austria,2021-05-28,Pfizer/BioNTech,3594974
Austria,2021-06-04,Johnson&Johnson,56863
Austria,2021-06-04,Moderna,570555
Austria,2021-06-04,Oxford/AstraZeneca,1048000
Austria,2021-06-04,Pfizer/BioNTech,4021131
Austria,2021-06-11,Johnson&Johnson,78176
Austria,2021-06-11,Moderna,632363
Austria,2021-06-11,Oxford/AstraZeneca,1142078
Austria,2021-06-11,Pfizer/BioNTech,4464261
Austria,2021-06-18,Johnson&Johnson,92556
Austria,2021-06-18,Moderna,681130
Austria,2021-06-18,Oxford/AstraZeneca,1193592
Austria,2021-06-18,Pfizer/BioNTech,4929355
Austria,2021-06-25,Johnson&Johnson,100852
Austria,2021-06-25,Moderna,735773
Austria,2021-06-25,Oxford/AstraZeneca,1265508
Austria,2021-06-25,Pfizer/BioNTech,5387734
Austria,2021-06-29,Johnson&Johnson,103698
Austria,2021-06-29,Moderna,740523
Austria,2021-06-29,Oxford/AstraZeneca,1282103
Austria,2021-06-29,Pfizer/BioNTech,5411447
