location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,30874
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,88
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115106
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,298
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,212202
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4149
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,256764
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5828
Austria,2021-02-05,Oxford/AstraZeneca,1
Austria,2021-02-05,Pfizer/BioNTech,351801
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9889
Austria,2021-02-12,Oxford/AstraZeneca,10754
Austria,2021-02-12,Pfizer/BioNTech,452546
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14008
Austria,2021-02-19,Oxford/AstraZeneca,43434
Austria,2021-02-19,Pfizer/BioNTech,517981
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22257
Austria,2021-02-26,Oxford/AstraZeneca,101080
Austria,2021-02-26,Pfizer/BioNTech,578861
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31446
Austria,2021-03-05,Oxford/AstraZeneca,155639
Austria,2021-03-05,Pfizer/BioNTech,682711
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,46739
Austria,2021-03-12,Oxford/AstraZeneca,233330
Austria,2021-03-12,Pfizer/BioNTech,845437
Austria,2021-03-19,Johnson&Johnson,13
Austria,2021-03-19,Moderna,78427
Austria,2021-03-19,Oxford/AstraZeneca,306164
Austria,2021-03-19,Pfizer/BioNTech,977398
Austria,2021-03-26,Johnson&Johnson,20
Austria,2021-03-26,Moderna,103717
Austria,2021-03-26,Oxford/AstraZeneca,380817
Austria,2021-03-26,Pfizer/BioNTech,1122480
Austria,2021-04-02,Johnson&Johnson,30
Austria,2021-04-02,Moderna,139823
Austria,2021-04-02,Oxford/AstraZeneca,419048
Austria,2021-04-02,Pfizer/BioNTech,1269478
Austria,2021-04-09,Johnson&Johnson,48
Austria,2021-04-09,Moderna,179119
Austria,2021-04-09,Oxford/AstraZeneca,508488
Austria,2021-04-09,Pfizer/BioNTech,1489845
Austria,2021-04-16,Johnson&Johnson,50
Austria,2021-04-16,Moderna,221287
Austria,2021-04-16,Oxford/AstraZeneca,603205
Austria,2021-04-16,Pfizer/BioNTech,1721873
Austria,2021-04-23,Johnson&Johnson,55
Austria,2021-04-23,Moderna,258371
Austria,2021-04-23,Oxford/AstraZeneca,651628
Austria,2021-04-23,Pfizer/BioNTech,1983863
Austria,2021-04-30,Johnson&Johnson,301
Austria,2021-04-30,Moderna,297078
Austria,2021-04-30,Oxford/AstraZeneca,693470
Austria,2021-04-30,Pfizer/BioNTech,2255467
Austria,2021-05-07,Johnson&Johnson,6374
Austria,2021-05-07,Moderna,345864
Austria,2021-05-07,Oxford/AstraZeneca,755774
Austria,2021-05-07,Pfizer/BioNTech,2583503
Austria,2021-05-14,Johnson&Johnson,13286
Austria,2021-05-14,Moderna,395199
Austria,2021-05-14,Oxford/AstraZeneca,819227
Austria,2021-05-14,Pfizer/BioNTech,2880592
Austria,2021-05-21,Johnson&Johnson,25454
Austria,2021-05-21,Moderna,462404
Austria,2021-05-21,Oxford/AstraZeneca,895935
Austria,2021-05-21,Pfizer/BioNTech,3255382
Austria,2021-05-28,Johnson&Johnson,37479
Austria,2021-05-28,Moderna,515265
Austria,2021-05-28,Oxford/AstraZeneca,977826
Austria,2021-05-28,Pfizer/BioNTech,3588624
Austria,2021-06-04,Johnson&Johnson,56690
Austria,2021-06-04,Moderna,569182
Austria,2021-06-04,Oxford/AstraZeneca,1045570
Austria,2021-06-04,Pfizer/BioNTech,4013653
Austria,2021-06-11,Johnson&Johnson,77674
Austria,2021-06-11,Moderna,630517
Austria,2021-06-11,Oxford/AstraZeneca,1138952
Austria,2021-06-11,Pfizer/BioNTech,4455264
Austria,2021-06-18,Johnson&Johnson,87288
Austria,2021-06-18,Moderna,661323
Austria,2021-06-18,Oxford/AstraZeneca,1171324
Austria,2021-06-18,Pfizer/BioNTech,4740794
