location,date,vaccine,total_vaccinations
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5198
Chile,2020-12-26,Pfizer/BioNTech,8338
Chile,2020-12-27,Pfizer/BioNTech,8649
Chile,2020-12-28,Pfizer/BioNTech,8649
Chile,2020-12-29,Pfizer/BioNTech,8649
Chile,2020-12-30,Pfizer/BioNTech,8649
Chile,2020-12-31,Pfizer/BioNTech,8649
Chile,2021-01-01,Pfizer/BioNTech,8649
Chile,2021-01-02,Pfizer/BioNTech,8649
Chile,2021-01-03,Pfizer/BioNTech,8649
Chile,2021-01-04,Pfizer/BioNTech,9054
Chile,2021-01-05,Pfizer/BioNTech,10497
Chile,2021-01-06,Pfizer/BioNTech,10702
Chile,2021-01-07,Pfizer/BioNTech,10702
Chile,2021-01-08,Pfizer/BioNTech,10702
Chile,2021-01-09,Pfizer/BioNTech,10702
Chile,2021-01-10,Pfizer/BioNTech,10702
Chile,2021-01-11,Pfizer/BioNTech,10702
Chile,2021-01-12,Pfizer/BioNTech,10702
Chile,2021-01-13,Pfizer/BioNTech,11732
Chile,2021-01-14,Pfizer/BioNTech,18646
Chile,2021-01-15,Pfizer/BioNTech,22077
Chile,2021-01-16,Pfizer/BioNTech,22167
Chile,2021-01-17,Pfizer/BioNTech,22167
Chile,2021-01-18,Pfizer/BioNTech,33202
Chile,2021-01-19,Pfizer/BioNTech,52558
Chile,2021-01-20,Pfizer/BioNTech,61861
Chile,2021-01-21,Pfizer/BioNTech,64921
Chile,2021-01-22,Pfizer/BioNTech,65333
Chile,2021-01-23,Pfizer/BioNTech,65333
Chile,2021-01-24,Pfizer/BioNTech,65333
Chile,2021-01-25,Pfizer/BioNTech,66753
Chile,2021-01-26,Pfizer/BioNTech,67369
Chile,2021-01-27,Pfizer/BioNTech,67404
Chile,2021-01-28,Pfizer/BioNTech,67404
Chile,2021-01-29,Pfizer/BioNTech,67409
Chile,2021-01-30,Pfizer/BioNTech,67410
Chile,2021-01-31,Pfizer/BioNTech,67410
Chile,2021-02-01,Pfizer/BioNTech,67410
Chile,2021-02-02,Pfizer/BioNTech,67416
Chile,2021-02-02,Sinovac,13182
Chile,2021-02-03,Pfizer/BioNTech,67416
Chile,2021-02-03,Sinovac,183541
Chile,2021-02-04,Pfizer/BioNTech,69544
Chile,2021-02-04,Sinovac,357541
Chile,2021-02-05,Pfizer/BioNTech,70232
Chile,2021-02-05,Sinovac,526175
Chile,2021-02-06,Pfizer/BioNTech,70237
Chile,2021-02-06,Sinovac,554023
Chile,2021-02-07,Pfizer/BioNTech,70239
Chile,2021-02-07,Sinovac,562657
Chile,2021-02-08,Pfizer/BioNTech,82025
Chile,2021-02-08,Sinovac,784102
Chile,2021-02-09,Pfizer/BioNTech,101488
Chile,2021-02-09,Sinovac,1026476
Chile,2021-02-10,Pfizer/BioNTech,109924
Chile,2021-02-10,Sinovac,1298888
Chile,2021-02-11,Pfizer/BioNTech,112994
Chile,2021-02-11,Sinovac,1549961
Chile,2021-02-12,Pfizer/BioNTech,113354
Chile,2021-02-12,Sinovac,1779037
Chile,2021-02-13,Pfizer/BioNTech,113388
Chile,2021-02-13,Sinovac,1808546
Chile,2021-02-14,Pfizer/BioNTech,113388
Chile,2021-02-14,Sinovac,1813012
Chile,2021-02-15,Pfizer/BioNTech,113389
Chile,2021-02-15,Sinovac,2078863
Chile,2021-02-16,Pfizer/BioNTech,113400
Chile,2021-02-16,Sinovac,2298852
Chile,2021-02-17,Pfizer/BioNTech,113400
Chile,2021-02-17,Sinovac,2486885
Chile,2021-02-18,Pfizer/BioNTech,113401
Chile,2021-02-18,Sinovac,2642121
Chile,2021-02-19,Pfizer/BioNTech,113401
Chile,2021-02-19,Sinovac,2784236
Chile,2021-02-20,Pfizer/BioNTech,113401
Chile,2021-02-20,Sinovac,2793875
Chile,2021-02-21,Pfizer/BioNTech,113401
Chile,2021-02-21,Sinovac,2795039
