location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Ethiopia,2021-04-08,Oxford/AstraZeneca,https://www.facebook.com/EthiopiaFMoH/posts/1795514303952698,430000,430000,
Ethiopia,2021-04-28,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1387471623410884612,1071485,1071485,
Ethiopia,2021-04-29,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1387844119242870786,1099614,1099614,
Ethiopia,2021-04-30,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388194200995442695,1114500,1114500,
Ethiopia,2021-05-01,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388561745321635844,1134885,1134885,
Ethiopia,2021-05-02,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1388916322294194186,1141092,1141092,
Ethiopia,2021-05-03,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1389291010631557123,1168268,1168268,
Ethiopia,2021-05-04,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1389648165104664583,1194578,1194578,
Ethiopia,2021-05-05,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390004366476709897,1215934,1215934,
Ethiopia,2021-05-06,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390375821261643776,1237826,1237826,
Ethiopia,2021-05-07,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1390729190807384069,1287801,1287801,
Ethiopia,2021-05-08,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391088742706950146,1290828,1290828,
Ethiopia,2021-05-09,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391441441013092355,1295723,1295723,
Ethiopia,2021-05-10,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1391818755857166337,1300775,1300775,
Ethiopia,2021-05-11,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392168331940175873,1360752,1360752,
Ethiopia,2021-05-12,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392538584461332489,1397647,1397647,
Ethiopia,2021-05-13,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1392905764352765955,1420251,1420251,
Ethiopia,2021-05-14,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393272894256467975,1436665,1436665,
Ethiopia,2021-05-15,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393635197489459205,1454503,1454503,
Ethiopia,2021-05-16,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1393977951801184257,1460021,1460021,
Ethiopia,2021-05-17,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1394361974990020608,1470079,1470079,
Ethiopia,2021-05-18,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1394719384669667332,1484820,1484820,
Ethiopia,2021-05-19,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1395085132369911819,1501724,1501724,
Ethiopia,2021-05-20,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1395465171150196738,1534280,1534280,
Ethiopia,2021-05-21,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1395808202671992833,1584156,1584156,
Ethiopia,2021-05-22,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1396172984939945985,1615117,1615117,
Ethiopia,2021-05-23,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1396528590330683401,1655244,1655244,
Ethiopia,2021-05-24,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1396888226888040459,1684450,1684450,
Ethiopia,2021-05-25,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1397250557962817538,1717481,1717481,
Ethiopia,2021-05-26,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1397634414344118281,1738550,1738550,
Ethiopia,2021-05-27,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1397987530834915334,1784722,1784722,
Ethiopia,2021-05-28,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1398346456134737922,1798140,1798140,
Ethiopia,2021-05-29,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1398696506220335105,1801175,1801175,
Ethiopia,2021-05-30,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1399064183040266250,1805006,1805006,
Ethiopia,2021-05-31,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1399435647451119618,1813739,1813739,
Ethiopia,2021-06-01,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1399793833014185986,1822343,1822343,
Ethiopia,2021-06-02,Oxford/AstraZeneca,https://twitter.com/FMoHealth/status/1400165681472184325,1838569,1838569,
