location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Kosovo,2021-03-28,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1953205024837075,0,0,0
Kosovo,2021-04-03,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1957354867755424,700,700,0
Kosovo,2021-04-04,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1957948864362691,2500,2500,0
Kosovo,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/1965538380270406,10704,10704,0
Kosovo,2021-04-18,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/1965538380270406,16132,16132,0
Kosovo,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1973327486158162,22096,22096,0
Kosovo,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1993116074179303,46097,46097,0
Kosovo,2021-05-20,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1995742160583361,55237,55237,0
Kosovo,2021-06-02,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2005243602966550,69686,69686,0
Kosovo,2021-06-06,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2008463175977926,80126,80126,0
Kosovo,2021-06-13,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2014407442050166,98277,98277,0
Kosovo,2021-06-20,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2019880388169538,133868,116057,17811
Kosovo,2021-06-30,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2028167994007444,179029,137456,41573
Kosovo,2021-07-08,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2034553783368865/,243428,182669,60759
Kosovo,2021-07-09,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2035366169954293,250658,187357,63301
Kosovo,2021-07-10,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2036163483207895,252938,189409,63529
Kosovo,2021-07-11,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2036966566460920,253858,189582,64276
Kosovo,2021-07-12,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2037747269716183,260955,193377,67578
Kosovo,2021-07-13,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2038532232971020,270641,198165,72476
Kosovo,2021-07-14,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2039383252885918,282180,203882,78298
Kosovo,2021-07-15,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2040170639473846,293693,215395,78298
Kosovo,2021-07-16,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2040958416061735,305991,217030,88961
Kosovo,2021-07-17,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2041702289320681,310415,220250,90165
Kosovo,2021-07-20,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2044183165739260,324107,230556,93551
Kosovo,2021-07-22,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2045803402243903,333705,234328,99377
Kosovo,2021-07-23,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2046678302156413,343333,241123,102210
Kosovo,2021-07-26,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2048926181931625,357980,248747,109233
Kosovo,2021-07-27,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2049636568527253,374190,256808,117382
Kosovo,2021-07-28,Oxford/AstraZeneca,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2050500601774183,388073,263847,124226
