location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Wales,2020-12-13,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,8257.0,8257.0,
Wales,2020-12-20,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,24056.0,24056.0,
Wales,2020-12-27,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,36551.0,36551.0,
Wales,2021-01-03,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,50756.0,50756.0,
Wales,2021-01-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,86118.0,86039.0,79.0
Wales,2021-01-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,91336.0,91239.0,97.0
Wales,2021-01-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,101479.0,101371.0,108.0
Wales,2021-01-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,113094.0,112973.0,121.0
Wales,2021-01-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,126504.0,126375.0,129.0
Wales,2021-01-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,151938.0,151737.0,201.0
Wales,2021-01-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,162197.0,161932.0,265.0
Wales,2021-01-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,176186.0,175816.0,370.0
Wales,2021-01-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,190831.0,190435.0,396.0
Wales,2021-01-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,212732.0,212317.0,415.0
Wales,2021-01-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,241016.0,240547.0,469.0
Wales,2021-01-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,265054.0,264538.0,516.0
Wales,2021-01-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,271376.0,270833.0,543.0
Wales,2021-01-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,290147.0,289566.0,581.0
