location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Tajikistan,2021-05-09,Oxford/AstraZeneca,70517,https://covid19.who.int/,70517,0
Tajikistan,2021-05-16,Oxford/AstraZeneca,72347,https://covid19.who.int/,72347,0
Tajikistan,2021-05-23,Oxford/AstraZeneca,74403,https://covid19.who.int/,74403,0
Tajikistan,2021-05-30,Oxford/AstraZeneca,91775,https://covid19.who.int/,79376,12399
Tajikistan,2021-06-06,Oxford/AstraZeneca,97290,https://covid19.who.int/,83743,13547
Tajikistan,2021-06-13,Oxford/AstraZeneca,102711,https://covid19.who.int/,89121,13590
Tajikistan,2021-06-20,Oxford/AstraZeneca,132075,https://covid19.who.int/,116341,15734
Tajikistan,2021-06-27,"Oxford/AstraZeneca, Sinovac",223648,https://covid19.who.int/,205619,18029
Tajikistan,2021-07-04,"Oxford/AstraZeneca, Sinovac",322907,https://covid19.who.int/,304039,18868
Tajikistan,2021-07-11,"Oxford/AstraZeneca, Sinovac",397694,https://covid19.who.int/,377744,19950
Tajikistan,2021-07-18,"Oxford/AstraZeneca, Sinovac",452362,https://www.euro.who.int/en/covid19dashboard,431058,21034
