date,people_vaccinated,people_fully_vaccinated,total_vaccinations,vaccine,location,source_url
2020-12-24,420.0,0.0,420.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-25,5197.0,0.0,5197.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-26,8340.0,0.0,8340.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-27,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-28,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-29,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-30,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2020-12-31,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-01,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-02,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-03,8651.0,0.0,8651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-04,9056.0,0.0,9056.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-05,10499.0,0.0,10499.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-06,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-07,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-08,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-09,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-10,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-11,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-12,10704.0,0.0,10704.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-13,10705.0,1032.0,11737.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-14,12823.0,5828.0,18651.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-15,13780.0,8302.0,22082.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-16,13803.0,8369.0,22172.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-17,13803.0,8369.0,22172.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-18,24843.0,8369.0,33212.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-19,44198.0,8370.0,52568.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-20,53503.0,8370.0,61873.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-21,56561.0,8370.0,64931.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
2021-01-22,56973.0,8370.0,65343.0,Pfizer/BioNTech,Chile,https://www.gob.cl/yomevacuno/
